region,visits,night,weekend,야간비중,주말비중
군포시,26327135.0,4716821.0,8109306.0,17.916195590595027,30.802083097913997
안산시 단원구,56211764.0,12028272.0,18892880.0,21.398140076159148,33.610188785393746
양평군,29355142.0,5405132.0,12307729.0,18.41289679334544,41.92699527735209
함양군,8776870.0,1703904.0,3608186.0,19.41357226437215,41.1101679755995
합천군,6944108.0,1283249.0,2991048.0,18.479680903580416,43.073178009328196
순천시,27951492.0,6277191.0,9746860.0,22.45744520542946,34.870625153032975
영천시,13953668.0,2338342.0,5032407.0,16.75790193660907,36.06511922169855
울릉군,1577980.0,526786.0,506268.0,33.38356633163919,32.08329636624038
광산구,50635259.0,11273571.0,16650341.0,22.264270436535142,32.88289885117404
유성구,63921863.0,13246125.0,21488764.0,20.722370059833832,33.61723671914881
영도구,18824533.0,3362539.0,6507713.0,17.86253608522453,34.57038217096807
강북구,35319272.0,8371936.0,11580333.0,23.703591625557856,32.78757557630293
아산시,41644267.0,8981332.0,13644542.0,21.566790934271935,32.76451474100865
천안시 동남구,49490578.0,9685105.0,16894749.0,19.569593630529027,34.13730387226433
청양군,4858007.0,1219286.0,1828909.0,25.098481743645078,37.64731092400649
청주시 상당구,32026168.0,6101804.0,11318785.0,19.052557271291402,35.34230195757419
남양주시,71537032.0,14007462.0,25552751.0,19.58071450322401,35.719613025041355
성남시 분당구,89507679.0,15569903.0,25925954.0,17.39504718919144,28.965061198827417
수원시 권선구,49530511.0,9632479.0,17331196.0,19.447566369747328,34.990949316069035
수원시 영통구,60860222.0,11138929.0,18099712.0,18.302478423427374,29.73980607563344
여주시,24741700.0,4004024.0,9376709.0,16.183301874972216,37.89840229248597
용인시 수지구,37939618.0,7247679.0,12301117.0,19.103194449664727,32.42288048340392
파주시,53117101.0,11289250.0,19001159.0,21.253513063523556,35.77220639356805
남해군,9057444.0,2625250.0,3730659.0,28.984446384653328,41.188871827416214
고령군,6465307.0,830848.0,2352605.0,12.850866942590661,36.38814057862991
동대문구,59865356.0,12866417.0,18099345.0,21.492258393986667,30.23342081186321
서초구,191447014.0,30910843.0,54025582.0,16.145899773605244,28.219600228395308
송파구,134710654.0,26364696.0,43276590.0,19.571351795233657,32.12558822556083
북구,157374364.0,31999462.0,51084000.0,20.333338408281033,32.460178838276356
강서구,138713682.0,25667791.0,43086696.0,18.504152315703077,31.061605011681543
부여군,11419362.0,2441664.0,4372544.0,21.381789980911368,38.290615535263704
태안군,18089374.0,5102080.0,7606231.0,28.204845562925506,42.048060922395656
음성군,19137623.0,3831368.0,5757305.0,20.020082953875722,30.08369952736555
의정부시,43723446.0,9232304.0,14924786.0,21.115224998505376,34.13451446622025
통영시,16342886.0,4725524.0,6390953.0,28.914868524445435,39.10541259358965
춘천시,30317533.0,7468839.0,11331574.0,24.635378478849184,37.37630631093896
광명시,45173956.0,8293820.0,15235610.0,18.35973807562924,33.72653482019596
광주시,47871449.0,9744020.0,16440289.0,20.35455413100197,34.3425765115236
중랑구,37691154.0,8864425.0,12117316.0,23.518582105498812,32.14896524526684
옹진군,6791758.0,1657660.0,2794357.0,24.406935582804923,41.14335345870686
담양군,16315880.0,2175157.0,7003621.0,13.331533450846662,42.925180866738415
영광군,7278111.0,1609207.0,2665360.0,22.110228876696166,36.62159040992917
김제시,12763503.0,2078865.0,4483332.0,16.28757403042096,35.12618753644669
익산시,27114145.0,5898945.0,8942276.0,21.755969070756244,32.9801142540176
전주시 완산구,43242367.0,10564446.0,15058495.0,24.430776418876423,34.823475319933344
울진군,8678669.0,2490707.0,3335266.0,28.69918186763431,38.43061649199895
광진구,75503287.0,15110982.0,24664867.0,20.01367437155418,32.667275796880205
구로구,70135901.0,13535969.0,22954583.0,19.299629443699597,32.72872048795666
논산시,17450988.0,3401906.0,6343270.0,19.494059591353796,36.34905943434263
서천군,11119519.0,2122772.0,4422075.0,19.090502026211745,39.76858171652928
제천시,15880297.0,4267308.0,6147967.0,26.871714049176788,38.71443336355737
동두천시,10291390.0,2166507.0,3616485.0,21.051646084736852,35.14087990057708
성남시 수정구,45715544.0,8242911.0,13651172.0,18.03087151276161,29.861116822759453
성남시 중원구,26129604.0,5176706.0,7945502.0,19.811651183079544,30.408045984929583
화성시,104112311.0,21518269.0,31178352.0,20.668323268705464,29.946844614754543
산청군,7362748.0,1342991.0,3123901.0,18.240349934562474,42.42846556747562
의령군,4636698.0,847528.0,1808277.0,18.2786974696217,38.99924040772119
경주시,50203247.0,11925129.0,19545240.0,23.753700632152338,38.93222285004793
동해시,12337400.0,3197910.0,4575981.0,25.92045325595344,37.090318867832764
영등포구,120815332.0,21664174.0,38331229.0,17.931642980544886,31.727123011175433
장수군,2759017.0,526218.0,1040014.0,19.072662473627382,37.69509212882704
포항시 남구,31097132.0,6945670.0,10327256.0,22.335403792221094,33.20967348371548
강동구,57714049.0,11976633.0,18527190.0,20.751676944377962,32.1016984963228
진천군,13983850.0,2757752.0,4336539.0,19.720978128340906,31.011052035026122
고흥군,7092313.0,1993533.0,2655405.0,28.108361827798632,37.44060647069581
곡성군,5494765.0,903149.0,2158398.0,16.43653550242822,39.280988358919814
보성군,7306755.0,1402518.0,2821297.0,19.19481356635059,38.61217462471371
장성군,10714168.0,1786260.0,3885664.0,16.671943169082283,36.26659578233233
동래구,42710137.0,8710310.0,13797098.0,20.394010911273828,32.30403592477355
부산진구,76215930.0,16841421.0,24838030.0,22.096982874839945,32.589026992126186
진안군,5015661.0,882969.0,2074576.0,17.60423999947365,41.36196604993838
청주시 청원구,30662082.0,6980407.0,9864118.0,22.765600196359788,32.17041165045479
안양시 동안구,42420386.0,9327157.0,13289000.0,21.987440189723877,31.326919090269477
연천군,9108375.0,1822537.0,3402353.0,20.00946381764036,37.35411640385908
