,방문,소비,방문당소비,야간비중,주말비중,체류시간,숙박객비중,수도권비중,권역,군
가평군,26055672.0,441907450000.0,16960.124843450594,22.693646128182763,43.37995581154077,16.07617135403267,19.514969066414036,89.9,수도권,1
강릉시,34369101.0,772028186000.0,22462.856564098085,28.89646720756531,37.51946261265315,28.585137960306607,24.498421265370276,39.11,강원,0
강화군,17196704.0,227889598000.0,13251.934673062931,22.595998628574407,43.26210999503161,19.610906984029633,14.423761980308445,98.64,수도권,1
거제시,23656192.0,252308048000.0,10665.623951648684,29.939565083002368,37.329537230675164,40.11944403987443,22.66967966167235,5.41,동남,0
거창군,6971355.0,74886247000.0,10741.99305586934,23.0330832384809,40.46209094214826,24.215015225222736,13.843931987744698,7.64,동남,1
경산시,31554054.0,449908191000.0,14258.332415860099,23.82667849906069,32.91187560241863,28.220737667382195,8.14715374888836,5.66,대경,0
경주시,50203247.0,901062615000.0,17948.293563561736,23.753700632152338,38.93222285004793,20.370691311747073,16.323126177072226,8.56,대경,0
계룡시,5467753.0,55772903000.0,10200.33329962052,19.350179132085888,31.853889522807634,26.277211923338655,10.151020235849769,18.91,충청,0
고령군,6465307.0,58205982000.0,9002.817963632662,12.850866942590661,36.38814057862991,12.432276090658654,5.237861799287967,1.76,대경,1
고창군,9636640.0,122189479000.0,12679.676630028724,21.044357784455993,39.8485883046373,18.819247497316084,11.562049079863666,10.32,호남,1
공주시,25786749.0,442502701000.0,17160.0809780248,18.497880442393104,38.4740550272545,14.443194285718544,8.22661480733329,19.48,충청,0
과천시,21756405.0,194270353000.0,8929.340715986855,13.806099858869148,35.98805960819354,10.021125374037277,2.4232656237206025,98.75,수도권,0
광명시,45173956.0,563679820000.0,12477.982224979367,18.35973807562924,33.72653482019596,13.51599625723067,4.420662122234125,95.78,수도권,0
광주시,47871449.0,812147639000.0,16965.17769913336,20.35455413100197,34.3425765115236,23.87634205172882,7.290211972742918,90.84,수도권,0
괴산군,11617368.0,146518294000.0,12612.004199229981,18.59527906837418,39.76665799000256,13.889065884512526,9.525743724387755,26.97,충청,1
구리시,48324562.0,619868780000.0,12827.199137366211,16.57953154340023,33.40249829889819,10.453933596952742,3.878912780804461,96.1,수도권,0
구미시,27913759.0,497570492000.0,17825.27720469321,24.588927632426717,32.59094197954492,31.874164128036803,10.72848227665135,14.65,대경,0
군산시,26817690.0,537863466000.0,20056.293662877004,25.994241114726886,36.1109103729665,30.832796292122296,14.535057033993132,20.74,호남,0
군위군,7956575.0,236128693000.0,29677.17805714142,12.772782258697996,39.75671692908067,9.34172012341043,5.3617441494160705,2.7,대경,1
군포시,26327135.0,351550929000.0,13353.178346219594,17.916195590595027,30.802083097913997,19.6519208449141,5.823402118226672,95.26,수도권,0
금산군,10288171.0,143291443000.0,13927.785900914749,19.200196030956327,40.34408059508342,17.795988916571915,8.554849186266363,9.92,충청,1
기장군,42224314.0,996931048000.0,23610.355114354257,16.047157095317168,40.493877532267305,11.002424878368357,5.905080712671848,2.57,동남,1
김제시,12763503.0,182479724000.0,14296.993858190812,16.28757403042096,35.12618753644669,16.801003279484675,7.331525764769655,9.35,호남,0
김천시,15764189.0,256269337000.0,16256.42378431266,20.850860136223943,35.39332089966696,22.246560414807103,9.199293347894217,13.28,대경,0
김포시,52503774.0,1339214285000.0,25507.00993418111,19.928735027695343,33.89880506494638,21.78498130335992,6.881527506077136,97.33,수도권,0
김해시,47535703.0,900173441000.0,18936.7861247366,19.98830647355736,34.91499641858668,24.67710806889389,8.080693204579164,4.08,동남,0
남양주시,71537032.0,1304389097000.0,18233.76034107761,19.58071450322401,35.719613025041355,20.641191688985675,7.279679849101274,94.42,수도권,0
남원시,10841883.0,166688640000.0,15374.510128913953,21.378813993842215,38.17803604779723,21.49510519628224,13.253398426900464,8.9,호남,0
남해군,9057444.0,106319901000.0,11738.40003868641,28.984446384653328,41.188871827416214,23.50832435368909,23.73570298750529,9.73,동남,1
논산시,17450988.0,266566210000.0,15275.135711513869,19.494059591353796,36.34905943434263,25.224756493917067,9.517660616934462,16.04,충청,0
단양군,9427933.0,132732826000.0,14078.677266798566,22.059989183206966,43.599259774120156,14.871835303395954,15.65389018696285,37.15,충청,1
달성군,31257488.0,368677121000.0,11794.841639225775,18.466266387113386,35.59497167526706,18.573105119438193,6.157508736958825,6.61,대경,1
당진시,22250363.0,473105473000.0,21262.820431289143,22.237259679763426,36.84174950314294,27.764247640673545,11.221629343391596,43.22,충청,0
동두천시,10291390.0,113816871000.0,11059.426472031475,21.051646084736852,35.14087990057708,21.09686572149211,8.066277586146606,95.34,수도권,0
동해시,12337400.0,200367609000.0,16240.66732050513,25.92045325595344,37.090318867832764,24.696121083456116,16.80277744900777,20.34,강원,0
무주군,8380581.0,84535446000.0,10087.062698874935,23.34317871278853,42.49356935992862,14.590868667496887,16.215720460039556,10.99,호남,1
문경시,12248902.0,223411190000.0,18239.282998590403,22.363882085104443,39.67107419097646,16.464314141159505,11.808443982553493,22.65,대경,0
밀양시,16012294.0,153443422000.0,9582.85065213017,18.265927418020176,42.07712523889457,18.993043515131223,10.270133108244266,2.59,동남,0
보령시,17779609.0,242783208000.0,13655.148884320235,28.077349732494117,42.243516153814184,25.29664390277646,22.189645711769828,27.77,충청,0
