,계수,하한95,상한95,p값
const,0.0334,-0.0856,0.1524,0.5827
Δlog체류시간,-0.1709,-0.549,0.2073,0.3758
Δ숙박객비중,-0.0043,-0.0467,0.0381,0.8436
Δ야간비중,0.0232,-0.0049,0.0514,0.1061
Δ주말비중,-0.0354,-0.0662,-0.0046,0.0243
Δ수도권비중,0.0069,-0.0079,0.0217,0.3602
Δlog방문,-0.726,-1.0437,-0.4083,0.0
군,0.0042,-0.06,0.0684,0.8982
권역_대경,0.0533,-0.0735,0.1801,0.41
권역_동남,0.0741,-0.051,0.1993,0.2458
권역_수도권,0.1009,0.0023,0.1995,0.0449
권역_제주,-0.0328,-0.4154,0.3497,0.8664
권역_충청,0.0394,-0.0848,0.1635,0.5343
권역_호남,0.1235,-0.0435,0.2906,0.1472
