,방문,방문당소비,체류시간,숙박객비중,야간비중,주말비중,수도권비중,권역,예측_방문당소비,격차_%,격차_순위(낮은순)
과천시,21756405.0,8929.34,10.02,2.42,13.81,35.99,98.75,수도권,17746.84,-49.68,1
고령군,6465307.0,9002.82,12.43,5.24,12.85,36.39,1.76,대경,15608.59,-42.32,2
구리시,48324562.0,12827.2,10.45,3.88,16.58,33.4,96.1,수도권,21821.26,-41.22,3
서천군,11119519.0,9094.37,17.92,10.9,19.09,39.77,17.08,충청,14736.4,-38.29,4
달성군,31257488.0,11794.84,18.57,6.16,18.47,35.59,6.61,대경,19015.31,-37.97,5
완주군,24016875.0,12247.42,14.22,7.05,16.05,36.0,6.56,호남,18790.9,-34.82,6
광명시,45173956.0,12477.98,13.52,4.42,18.36,33.73,95.78,수도권,18609.26,-32.95,7
거제시,23656192.0,10665.62,40.12,22.67,29.94,37.33,5.41,동남,15871.72,-32.8,8
합천군,6944108.0,7440.69,20.02,12.57,18.48,43.07,5.58,동남,11037.35,-32.59,9
양양군,15541620.0,12815.47,16.79,21.0,25.29,40.59,27.25,강원,18983.3,-32.49,10
상주시,14343002.0,10368.76,18.88,9.44,20.55,36.17,15.95,대경,15273.69,-32.11,11
밀양시,16012294.0,9582.85,18.99,10.27,18.27,42.08,2.59,동남,13916.71,-31.14,12
의령군,4636698.0,6224.88,18.14,8.66,18.28,39.0,1.99,동남,9018.96,-30.98,13
계룡시,5467753.0,10200.33,26.28,10.15,19.35,31.85,18.91,충청,14628.69,-30.27,14
옹진군,6791758.0,8742.57,24.59,20.77,24.41,41.14,95.53,수도권,12532.72,-30.24,15
화천군,4317272.0,8716.73,27.09,12.91,20.95,35.42,50.77,강원,12443.47,-29.95,16
익산시,27114145.0,12428.45,28.73,10.1,21.76,32.98,14.08,호남,17391.42,-28.54,17
군포시,26327135.0,13353.18,19.65,5.82,17.92,30.8,95.26,수도권,18414.74,-27.49,18
영양군,1821532.0,5810.81,35.44,17.63,26.98,35.74,10.74,대경,7970.44,-27.1,19
경주시,50203247.0,17948.29,20.37,16.32,23.75,38.93,8.56,대경,24475.05,-26.67,20
아산시,41644267.0,16749.4,29.28,10.06,21.57,32.76,41.73,충청,22511.82,-25.6,21
함양군,8776870.0,7475.3,14.03,9.47,19.41,41.11,5.62,동남,10043.34,-25.57,22
양산시,38676409.0,13776.25,20.44,7.31,19.07,34.68,4.94,동남,17913.59,-23.1,23
봉화군,4719890.0,8167.38,21.82,12.03,21.68,37.38,13.58,대경,10520.51,-22.37,24
양평군,29355142.0,13322.87,15.56,10.79,18.41,41.93,88.52,수도권,16906.36,-21.2,25
예천군,7081895.0,8505.11,27.17,12.42,24.93,35.16,12.57,대경,10626.56,-19.96,26
삼척시,12247886.0,13240.2,25.16,18.27,25.72,37.76,23.06,강원,16282.02,-18.68,27
인제군,9881182.0,11539.41,17.54,10.76,19.02,40.23,40.99,강원,14154.02,-18.47,28
순창군,4986632.0,7267.22,15.33,9.0,18.54,41.92,7.82,호남,8895.29,-18.3,29
태안군,18089374.0,14366.03,23.97,24.21,28.2,42.05,42.28,충청,17435.78,-17.61,30
보은군,8748922.0,10197.84,14.9,9.55,19.54,39.77,23.23,충청,12215.01,-16.51,31
옥천군,12312339.0,11911.38,12.09,6.79,16.95,39.26,13.74,충청,14260.52,-16.47,32
보령시,17779609.0,13655.15,25.3,22.19,28.08,42.24,27.77,충청,16343.51,-16.45,33
울주군,38923070.0,16293.04,16.27,6.47,16.88,34.27,3.94,동남,19339.55,-15.75,34
연천군,9108375.0,9790.39,21.18,10.45,20.01,37.35,97.36,수도권,11601.4,-15.61,35
영동군,6800198.0,10882.04,23.02,10.99,19.27,38.12,14.89,충청,12841.22,-15.26,36
청양군,4858007.0,7509.81,25.83,12.46,25.1,37.65,19.65,충청,8849.63,-15.14,37
남양주시,71537032.0,18233.76,20.64,7.28,19.58,35.72,94.42,수도권,20906.07,-12.78,38
경산시,31554054.0,14258.33,28.22,8.15,23.83,32.91,5.66,대경,16035.71,-11.08,39
철원군,6823546.0,10344.53,27.21,13.19,22.9,38.2,89.5,강원,11616.4,-10.95,40
오산시,31783619.0,15419.16,21.27,6.95,19.9,32.23,85.16,수도권,17286.5,-10.8,41
논산시,17450988.0,15275.14,25.22,9.52,19.49,36.35,16.04,충청,17124.1,-10.8,42
괴산군,11617368.0,12612.0,13.89,9.53,18.6,39.77,26.97,충청,14058.35,-10.29,43
정선군,10187345.0,14885.25,27.02,26.88,30.57,37.94,34.13,강원,16493.65,-9.75,44
강릉시,34369101.0,22462.86,28.59,24.5,28.9,37.52,39.11,강원,24785.18,-9.37,45
평택시,54350075.0,19561.47,31.01,9.38,21.73,31.02,64.26,수도권,21494.55,-8.99,46
서귀포시,44107359.0,22627.18,31.63,21.83,30.03,31.4,0.89,제주,24853.22,-8.96,47
영주시,9517910.0,12326.07,32.88,15.63,24.96,36.18,15.8,대경,13468.62,-8.48,48
김제시,12763503.0,14296.99,16.8,7.33,16.29,35.13,9.35,호남,15573.26,-8.2,49
의왕시,31454757.0,17993.15,11.35,3.54,14.68,33.63,95.96,수도권,19578.09,-8.1,50
가평군,26055672.0,16960.12,16.08,19.51,22.69,43.38,89.9,수도권,18261.84,-7.13,51
무주군,8380581.0,10087.06,14.59,16.22,23.34,42.49,10.99,호남,10832.74,-6.88,52
안동시,18054579.0,14543.01,29.64,13.62,24.45,35.63,14.01,대경,15587.13,-6.7,53
광주시,47871449.0,16965.18,23.88,7.29,20.35,34.34,90.84,수도권,18160.18,-6.58,54
공주시,25786749.0,17160.08,14.44,8.23,18.5,38.47,19.48,충청,18325.6,-6.36,55
임실군,9183113.0,12423.31,8.51,4.75,12.93,39.36,7.57,호남,13227.0,-6.08,56
춘천시,30317533.0,18538.85,33.06,15.56,24.64,37.38,74.1,강원,19445.97,-4.66,57
청송군,5006931.0,10510.78,21.11,13.91,21.81,39.14,10.28,대경,10992.82,-4.39,58
영천시,13953668.0,16840.55,17.62,7.91,16.76,36.07,4.79,대경,17445.7,-3.47,59
하동군,7826679.0,11247.05,16.68,12.53,18.28,41.76,5.29,동남,11559.89,-2.71,60
평창군,17450406.0,17949.61,22.77,21.55,26.22,40.18,44.75,강원,18105.73,-0.86,61
정읍시,11773052.0,12991.47,22.73,11.14,21.25,35.69,9.78,호남,13089.52,-0.75,62
홍성군,13169252.0,14323.77,25.1,11.02,21.99,34.78,24.05,충청,14380.5,-0.39,63
양주시,35057313.0,17546.04,20.18,7.16,18.81,35.22,96.83,수도권,17536.73,0.05,64
동두천시,10291390.0,11059.43,21.1,8.07,21.05,35.14,95.34,수도권,10926.49,1.22,65
원주시,34872732.0,19616.82,32.79,13.98,24.67,36.08,62.11,강원,19327.68,1.5,66
의정부시,43723446.0,17862.26,23.06,8.02,21.12,34.13,95.91,수도권,17466.01,2.27,67
진안군,5015661.0,10183.49,14.93,10.22,17.6,41.36,7.42,호남,9951.69,2.33,68
충주시,31363094.0,17277.66,25.9,11.67,23.85,36.84,43.13,충청,16832.9,2.64,69
