,계수,하한95,상한95,p값,표준화계수,표준화_하한95,표준화_상한95
const,6.4205,3.4599,9.3812,0.0,9.7117,9.5367,9.8867
log체류시간,-0.0281,-0.4238,0.3675,0.8892,-0.0094,-0.1416,0.1228
숙박객비중,0.05,0.0226,0.0773,0.0003,0.2961,0.1341,0.4581
야간비중,-0.0615,-0.1063,-0.0166,0.0072,-0.2572,-0.4449,-0.0695
주말비중,-0.0279,-0.0575,0.0017,0.0642,-0.0919,-0.1893,0.0054
수도권비중,-0.0004,-0.0057,0.0048,0.876,-0.014,-0.1902,0.1622
log방문,0.3109,0.1997,0.4221,0.0,0.2466,0.1584,0.3348
군,-0.0384,-0.2085,0.1317,0.6581,-0.0384,-0.2085,0.1317
권역_대경,-0.0476,-0.3176,0.2225,0.73,-0.0476,-0.3176,0.2225
권역_동남,-0.2195,-0.5279,0.0889,0.1631,-0.2195,-0.5279,0.0889
권역_수도권,-0.1427,-0.4351,0.1497,0.3387,-0.1427,-0.4351,0.1497
권역_제주,-0.0905,-0.433,0.2519,0.6045,-0.0905,-0.433,0.2519
권역_충청,-0.0329,-0.2357,0.17,0.7509,-0.0329,-0.2357,0.17
권역_호남,-0.1659,-0.4453,0.1136,0.2447,-0.1659,-0.4453,0.1136
