시군,방문_2024,방문_2026,관광소비_방문당_2024,관광소비_방문당_2026,체험문화_2024,체험문화_2026,방문_변화율,관광소비_변화율,체험문화_변화율
가평군,17835508.0,17548496.0,17872.296712827017,17647.94926015312,350.32402777650066,442.8698049109166,-0.01609216849892925,-0.012552804839731757,0.26417193739693534
강릉시,22871514.0,24100873.0,22523.47767620456,25003.290295749866,777.0575222960755,661.6800146617095,0.05375066119365779,0.11009901113828269,-0.14848000865295619
강진군,3876940.0,3983895.0,8640.253653654687,8739.686412417997,130.60429101301543,134.6727260633124,0.027587478784814934,0.011508083298139349,0.031150852845191368
강화군,11030705.0,11592484.0,13436.901267870006,13353.381553082152,428.3086167203275,429.42280532800396,0.050928657778446684,-0.006215697587029556,0.002601368649101987
거제시,15143059.0,15429362.0,11541.23892669242,11153.409842869718,321.92967088089665,328.4638081600523,0.0189065498589156,-0.03360376527044562,0.020296784888687913
거창군,4237746.0,4317852.0,11109.447333558925,11257.460654047429,54.47848927236319,41.3719599467513,0.018902973420304114,0.013323193858743254,-0.24058173236203884
경산시,19480222.0,20804626.0,15404.086668006144,15718.708089248998,184.8750491652508,150.48595442186752,0.06798711020849768,0.020424542397331047,-0.1860126333902664
경주시,31262128.0,33719887.0,18967.870837199567,20536.30259792982,309.27555539405375,302.3160783427299,0.07861777675531245,0.08268886762209826,-0.02250251250040325
계룡시,3381355.0,3442408.0,11424.001620652076,10853.921441037784,94.69280806067391,125.49935975050023,0.01805577941387404,-0.04990196942757008,0.325331483147983
고령군,4074740.0,4172886.0,9861.35974319834,9665.690363935175,66.71714023471436,57.19303139362063,0.024086444779298777,-0.019842028316442217,-0.14275355339853335
고창군,5812291.0,6246870.0,13798.687299035784,13498.117937463081,262.56582817343457,300.6896253643825,0.07476896803687216,-0.021782460538380843,0.1451971014513196
고흥군,4379529.0,4528967.0,9864.445697242785,11034.107998578926,107.5805183616777,122.31641343379184,0.03412193411665965,0.118573545563039,0.1369754979481801
곡성군,3664770.0,3659904.0,14872.404543804932,14872.00620562725,118.86939698807838,244.79986360297977,-0.0013277777322997508,-2.678371049602557e-05,1.0594019134086392
공주시,16191008.0,17525443.0,17364.228218527223,18289.54811584506,97.72473708863586,103.84171173305006,0.08241827809608893,0.053288858316809185,0.0625939227533161
과천시,13850191.0,14754138.0,8583.75693158311,10534.670070186412,68.90359851355119,994.1878000598883,0.06526603134931497,0.2272796345648027,13.428677478497187
광명시,26394523.0,30498909.0,14146.509561851146,13410.211821019566,351.42896880538433,279.6246908373017,0.1555014273226305,-0.05204801492639233,-0.20432088513410696
광양시,9672622.0,9924852.0,19894.901816694583,20727.22847655562,189.85751743425928,184.0843571269375,0.0260766935790524,0.04183617830989261,-0.030407857351873457
광주시,30578816.0,31393177.0,17674.351812705892,18188.60521826128,320.39569484966324,329.0457350015897,0.026631541260459635,0.02909602632135555,0.026997991205797156
괴산군,7600471.0,7550261.0,13019.008821953272,14870.829366031188,137.69896628774717,128.97567382107718,-0.006606169538703632,0.14223974877068124,-0.06335045717366583
구례군,4580774.0,4605289.0,7062.823007640193,7578.698318390007,61.66534301845059,179.78480829324718,0.005351715670757873,0.07304095121621579,1.9154919034416888
구리시,29816698.0,31948157.0,13389.603603993977,13898.869721968626,204.46402213954073,201.0054601897693,0.07148541397843577,0.03803444321702987,-0.016915259289045248
구미시,17611986.0,17979732.0,18583.8256968862,18357.29826228778,323.9525627603837,257.6105138830768,0.020880439037369136,-0.012189494149010272,-0.2047893935828432
군산시,16803564.0,17867362.0,20176.438581719925,22165.87708918642,176.491725207819,197.03513031190616,0.06330787920943437,0.09860206494861523,0.11639868713333335
군위군,5313364.0,4983535.0,30425.008713876934,28270.27140373249,81.75065739896608,100.71525533582086,-0.06207536317858142,-0.07082125531690187,0.2319809838874105
군포시,17029214.0,17480740.0,13530.668062542405,14794.72528050872,269.5739216149377,282.6981008813128,0.026514788057745875,0.09342164127621055,0.04868489944335863
금산군,6566030.0,6653391.0,13772.844930650637,14450.06102903016,61.62064443811557,54.47552984635955,0.013304995560483368,0.049170385769204294,-0.11595325977046089
