ym,안동,경주,포항,전주,군산
2018-01-01,1324218.0,2801827.0,4436652.0,5642997.0,1551704.0
2018-02-01,1524862.0,2963912.0,4359718.0,5914947.0,1692131.0
2018-03-01,1553475.0,3227080.0,4535674.0,6898920.0,1980181.0
2018-04-01,1425833.0,3465465.0,4145820.0,5850326.0,1863480.0
2018-05-01,1605978.0,3440853.0,4666654.0,6449362.0,2084383.0
2018-06-01,1388005.0,3053830.0,4364370.0,5717008.0,1770142.0
2018-07-01,1516112.0,3485601.0,4891379.0,6417526.0,1860586.0
2018-08-01,1650488.0,4063626.0,5088408.0,6218106.0,2006011.0
2018-09-01,2023581.0,3854889.0,4963808.0,7014311.0,2392586.0
2018-10-01,1597736.0,3647119.0,4409894.0,6327184.0,2006438.0
2018-11-01,1429137.0,3255476.0,4316123.0,5924457.0,1790600.0
2018-12-01,1374618.0,3099005.0,4641276.0,6209958.0,1730039.0
2019-01-01,1381674.0,3059413.0,4588038.0,5764352.0,1629677.0
2019-02-01,1619814.0,3404366.0,4645000.0,6106022.0,1859959.0
2019-03-01,1655741.0,3766658.0,4874169.0,6998187.0,2115708.0
2019-04-01,1389465.0,3497445.0,4117897.0,5611644.0,1798895.0
2019-05-01,1544984.0,3494862.0,4609395.0,6226160.0,1970024.0
2019-06-01,1422162.0,3255682.0,4388642.0,5490610.0,1776610.0
2019-07-01,1563964.0,3622157.0,4916845.0,5925874.0,1889615.0
2019-08-01,1794845.0,4410616.0,5354181.0,6167643.0,2208202.0
2019-09-01,1935976.0,3668381.0,4714846.0,6578460.0,2313549.0
2019-10-01,1697965.0,3854277.0,4433985.0,6281387.0,2208062.0
2019-11-01,1545901.0,3494893.0,4479593.0,6086310.0,2012811.0
2019-12-01,1420356.0,3214984.0,4810029.0,6294102.0,1868153.0
2020-01-01,1731157.0,3552528.0,5128249.0,6235246.0,1967312.0
2020-02-01,1036611.0,2296032.0,3543299.0,4786018.0,1272998.0
2020-03-01,803798.0,2159161.0,3243008.0,4495895.0,1506967.0
2020-04-01,1047304.0,2501251.0,3775689.0,4656777.0,1589432.0
2020-05-01,1380578.0,3231988.0,4683078.0,5716408.0,2025267.0
2020-06-01,1286543.0,2860467.0,4297713.0,5276968.0,1768166.0
2020-07-01,1425236.0,3178612.0,4650217.0,5678261.0,1940889.0
2020-08-01,1630993.0,4158508.0,5389554.0,5378058.0,2084663.0
2020-09-01,1403480.0,2750712.0,4103655.0,4887342.0,1891479.0
2020-10-01,1693710.0,3720141.0,4714714.0,6001835.0,2303500.0
2020-11-01,1391932.0,3186881.0,4307723.0,5296258.0,1760711.0
2020-12-01,1072927.0,2385593.0,3933564.0,4587274.0,1504192.0
2021-01-01,1017454.0,2297659.0,3673525.0,4778966.0,1437040.0
2021-02-01,1247264.0,2871497.0,4144087.0,5241832.0,1684659.0
2021-03-01,1423956.0,3133707.0,4403119.0,6018827.0,1926812.0
2021-04-01,1276695.0,3193133.0,4060769.0,5070918.0,1700784.0
2021-05-01,1439531.0,3501186.0,4636975.0,5938159.0,1995614.0
2021-06-01,1342840.0,3119103.0,4387464.0,5593353.0,1778257.0
2021-07-01,1428299.0,3445970.0,4872931.0,5856940.0,1881609.0
2021-08-01,1510017.0,3779351.0,4814482.0,5659217.0,2071244.0
2021-09-01,1758147.0,3618802.0,4870301.0,5898911.0,2268977.0
2021-10-01,1600991.0,3957581.0,4992029.0,6160979.0,2185439.0
2021-11-01,1461311.0,3587149.0,4607087.0,5953730.0,1859721.0
2021-12-01,1267018.0,3079367.0,4476516.0,5703577.0,1704298.0
2022-01-01,1405253.0,3342347.0,4995891.0,5874838.0,1856905.0
