KTO_TOB_MCLS_NM,2018,2019,2020,2021,2022,2023,2024,2025
일반외식업,24.961360460970234,26.97219350865264,25.414730916686413,22.972353735299055,24.246879844919512,26.114843361329278,26.36203103635796,27.441139777990454
육상운송,28.252743864416942,26.973327432041057,25.209607656463405,27.50098542796573,28.078647993730822,24.343076915565582,25.00502199069196,25.118517752378988
기타관광쇼핑,18.535959474397277,18.618185103673294,22.129880193877753,21.62432027719679,20.50845221099225,22.153354547118173,22.061318665131882,22.626468986626953
대형쇼핑몰,12.14225784658662,10.96821691229498,11.433298592229775,10.081755563899373,8.72555394209162,8.871822861944153,8.537036486790717,7.739643957089536
제과음료업,3.356376601770567,3.970409671651047,4.080625139946522,4.450773258670745,4.554932414580016,4.956894745743523,4.967916258154141,5.15266940889681
골프장,1.3214131415510253,1.4951014549061388,2.050543013313091,4.680269936348128,5.878432989766916,3.950840176113177,4.887266076392175,3.3679692160616788
레저용품쇼핑,5.400657968197785,4.974909213755034,4.817483746883181,4.323379267862229,3.610150036599281,3.540297080985523,3.224304753118887,2.949123589639096
기타숙박,2.432470302951704,2.4991935734065676,2.15280802772601,1.867744942326694,1.7279459653103026,1.8135876805815472,1.8249037147676672,2.521558069168922
뷰티,1.8899463514953727,1.822194375956129,1.5618955375377483,1.4242331932137624,1.4003230416341321,2.772535270380828,1.720780496817648,1.7015010250524696
기타레저,1.0634039907031867,1.0710697191868508,0.6886443212832042,0.6927378187962174,0.7907410804680449,0.9058300404546484,0.8492774301832056,0.8933760419723937
문화서비스,0.35837453358060145,0.3853335927276756,0.2087064946588905,0.19257739873982882,0.32073050058742797,0.39999548426621473,0.3587201536430639,0.22580651871582325
여행업,0.052884069897011686,0.042064810832826455,0.004427579369506566,0.006767291454635007,0.01730220964110592,0.015222783994477549,0.03122056082634872,0.09938091839470653
호텔,0.10432281126202028,0.08584293060452756,0.10087221026304818,0.07411604932374667,0.06436976300919899,0.0683752336571702,0.07961582352806187,0.06934458437576543
캠핑장/펜션,0.10379862520992056,0.09038887876969084,0.09794255233774268,0.08980514917131971,0.053213067566287194,0.06977528746905219,0.055407848594866256,0.06293972921402882
렌터카,0.003153728779473726,0.012925148995363994,0.02289075080275669,0.013479584604134448,0.013419400979665817,0.016942451245440443,0.024193457624649594,0.026890321499031453
관광유원시설,,,,0.004701105127610318,0.008905538123418122,0.006606079151210158,0.010985247376770434,0.0036701029233431933
수상운송,0.020876228230262587,0.01864367254617973,0.025643266620950702,0.0,,,,
