AREA_NM,TOU_NUM,비중%
중구동,26690447.0,12.298433649524961
풍산읍,25989862.0,11.975617844366191
옥동,21105350.0,9.724930669950998
서구동,20056379.0,9.241585439960064
용상동,18565250.0,8.55450248966768
풍천면,16360530.0,7.538610824916593
강남동,14636226.0,6.744085415296795
명륜동,10424204.0,4.8032684219605875
송하동,9585888.0,4.41698887769761
태화동,8570961.0,3.9493304541196372
서후면,6810590.0,3.138186079428276
길안면,5180350.0,2.3870035131414857
남후면,4750190.0,2.188794235541914
와룡면,4458226.0,2.0542629599117266
도산면,4355872.0,2.007100247433982
