city,PERIOD,강원,경북,기타,대구,부울경,수도권,충청권,호남
경주,2018,1.3,21.9,1.6,11.4,45.6,12.6,4.8,0.9
경주,2019,1.1,24.5,1.3,11.5,46.8,9.5,4.5,0.7
경주,2020,0.9,25.4,0.9,10.8,49.8,7.9,3.9,0.5
경주,2021,1.0,25.3,1.2,10.4,46.2,10.6,4.6,0.7
경주,2022,1.0,25.8,1.2,11.1,47.1,8.9,4.3,0.6
경주,2023,1.0,26.1,1.3,12.4,46.6,7.7,4.2,0.7
경주,2024,1.0,26.5,1.2,12.7,45.8,8.0,4.2,0.6
경주,2024_1-8,1.0,26.5,1.2,12.9,45.7,8.0,4.2,0.6
경주,2025,0.8,25.9,1.1,12.6,46.3,8.6,4.0,0.7
경주,2025_1-8,0.8,25.3,1.0,12.7,47.7,8.1,3.8,0.7
경주,2026_1-8,1.0,23.6,1.5,13.2,43.5,11.4,5.1,0.8
군산,2018,0.8,1.5,8.1,0.8,4.4,25.6,27.8,31.0
군산,2019,0.5,1.1,7.2,0.8,3.7,21.1,34.4,31.3
군산,2020,0.4,1.1,7.2,0.7,3.5,18.6,33.9,34.6
군산,2021,0.4,1.1,7.2,0.6,3.4,20.9,32.3,34.1
군산,2022,0.4,1.0,7.3,0.7,3.6,19.2,34.0,33.8
군산,2023,0.5,1.2,7.0,0.7,3.6,20.1,35.0,31.9
군산,2024,0.5,1.3,7.3,0.8,3.8,20.2,36.0,30.1
군산,2024_1-8,0.5,1.2,7.3,0.8,3.8,20.6,36.5,29.3
군산,2025,0.5,1.1,7.4,0.8,4.2,20.7,34.0,31.2
군산,2025_1-8,0.5,1.2,7.4,0.8,4.4,21.1,35.1,29.6
군산,2026_1-8,0.6,1.3,7.9,0.8,4.2,25.9,31.4,27.9
단양,2018,7.6,10.7,1.0,3.4,4.1,49.6,22.6,1.1
단양,2019,8.5,12.4,0.8,3.3,4.1,41.8,28.1,1.0
단양,2020,9.1,12.9,0.7,2.4,3.1,39.2,32.0,0.7
단양,2021,9.2,11.4,0.6,2.2,2.8,40.2,32.8,0.7
단양,2022,8.5,11.0,0.7,2.7,3.1,40.2,33.2,0.7
단양,2023,8.8,11.4,0.7,3.2,3.1,39.9,32.2,0.9
단양,2024,8.8,11.5,0.9,3.3,3.3,38.4,33.1,0.8
단양,2024_1-8,8.8,11.4,0.8,3.2,3.1,39.1,33.0,0.7
단양,2025,8.8,12.5,0.8,3.4,3.3,37.1,33.2,0.8
단양,2025_1-8,9.0,12.0,0.8,3.6,3.3,38.0,32.6,0.8
단양,2026_1-8,11.2,11.2,0.8,4.0,3.5,37.5,30.9,1.0
안동,2018,3.8,45.4,0.7,12.3,7.8,19.6,9.7,0.7
안동,2019,3.2,51.7,0.7,11.2,7.2,15.7,9.7,0.7
안동,2020,3.6,52.6,0.9,10.4,6.8,15.4,9.6,0.8
안동,2021,3.4,51.3,0.9,10.6,7.0,16.0,9.8,1.0
안동,2022,3.5,52.4,0.8,10.7,6.4,15.2,10.2,0.9
안동,2023,3.0,52.4,0.9,11.1,6.3,15.4,10.0,0.8
안동,2024,3.2,53.0,0.8,12.1,5.9,15.1,9.2,0.8
안동,2024_1-8,3.3,52.4,0.8,11.9,5.6,15.7,9.6,0.7
안동,2025,3.2,55.2,0.9,11.4,6.1,14.0,8.5,0.7
안동,2025_1-8,3.1,55.5,0.9,10.7,6.1,14.4,8.6,0.6
안동,2026_1-8,3.8,49.9,1.0,11.3,6.3,17.3,9.5,0.9
영주,2018,6.7,38.2,0.7,5.3,4.1,23.1,21.2,0.7
영주,2019,5.8,43.1,0.5,5.5,3.9,17.9,22.6,0.6
영주,2020,5.8,50.0,0.7,5.3,4.6,14.4,18.5,0.7
영주,2021,5.8,46.7,0.6,6.0,5.3,17.1,17.6,0.8
영주,2022,6.0,44.8,0.8,5.2,5.0,16.7,20.7,0.8
영주,2023,6.7,43.1,0.5,5.1,4.0,16.2,24.0,0.5
영주,2024,7.1,43.5,0.6,5.3,3.9,15.1,23.7,0.6
영주,2024_1-8,7.0,42.8,0.7,5.5,3.8,15.3,24.4,0.5
영주,2025,7.4,43.4,0.5,5.4,3.9,15.8,23.0,0.5
영주,2025_1-8,7.2,43.3,0.5,5.6,4.1,15.7,23.0,0.5
영주,2026_1-8,7.6,42.9,0.7,5.5,4.4,17.7,20.7,0.7
영천,2018,0.5,41.9,0.5,42.9,8.5,3.1,2.3,0.3
영천,2019,0.4,46.3,0.4,38.9,8.3,3.0,2.5,0.3
영천,2020,0.2,44.8,0.4,41.2,8.4,2.5,2.2,0.3
