city,reg,2018,2019,2020,2021,2022,2023,2024,2025
경주,강원,53.0,46.0,31.0,41.0,43.0,48.0,46.0,43.0
경주,경북,883.0,1047.0,914.0,1001.0,1165.0,1267.0,1280.0,1337.0
경주,기타,63.0,57.0,32.0,47.0,54.0,61.0,56.0,55.0
경주,대구,459.0,493.0,388.0,411.0,503.0,602.0,613.0,650.0
경주,부울경,1839.0,2002.0,1794.0,1830.0,2133.0,2259.0,2213.0,2387.0
경주,수도권,509.0,404.0,283.0,419.0,404.0,374.0,385.0,442.0
경주,충청권,195.0,194.0,139.0,183.0,194.0,202.0,204.0,209.0
경주,호남,35.0,30.0,17.0,27.0,28.0,33.0,30.0,36.0
군산,강원,18.0,12.0,9.0,9.0,10.0,14.0,13.0,13.0
군산,경북,33.0,26.0,24.0,25.0,26.0,30.0,34.0,32.0
군산,기타,183.0,170.0,156.0,162.0,182.0,182.0,195.0,206.0
군산,대구,19.0,18.0,15.0,14.0,18.0,18.0,22.0,23.0
군산,부울경,101.0,87.0,75.0,76.0,89.0,93.0,102.0,118.0
군산,수도권,583.0,499.0,401.0,469.0,480.0,523.0,537.0,577.0
군산,충청권,631.0,814.0,733.0,726.0,847.0,912.0,958.0,945.0
군산,호남,705.0,740.0,749.0,767.0,842.0,831.0,803.0,869.0
단양,강원,63.0,72.0,62.0,67.0,75.0,84.0,86.0,84.0
단양,경북,88.0,105.0,87.0,83.0,97.0,108.0,112.0,119.0
단양,기타,8.0,7.0,4.0,4.0,6.0,6.0,8.0,8.0
단양,대구,28.0,27.0,16.0,16.0,23.0,30.0,32.0,32.0
단양,부울경,34.0,34.0,21.0,21.0,27.0,29.0,32.0,32.0
단양,수도권,410.0,353.0,265.0,292.0,354.0,378.0,374.0,353.0
단양,충청권,187.0,237.0,217.0,238.0,293.0,305.0,322.0,315.0
단양,호남,9.0,8.0,5.0,5.0,6.0,8.0,7.0,8.0
안동,강원,69.0,61.0,56.0,57.0,60.0,52.0,55.0,59.0
안동,경북,836.0,980.0,837.0,861.0,896.0,907.0,921.0,1012.0
안동,기타,14.0,14.0,15.0,16.0,13.0,16.0,14.0,16.0
안동,대구,226.0,212.0,165.0,178.0,182.0,192.0,209.0,208.0
안동,부울경,143.0,136.0,108.0,118.0,109.0,108.0,102.0,112.0
안동,수도권,362.0,298.0,245.0,268.0,260.0,266.0,263.0,257.0
안동,충청권,179.0,183.0,153.0,164.0,175.0,174.0,160.0,155.0
안동,호남,12.0,14.0,13.0,16.0,15.0,14.0,14.0,13.0
영주,강원,58.0,51.0,45.0,47.0,53.0,60.0,66.0,72.0
영주,경북,333.0,383.0,386.0,379.0,397.0,386.0,402.0,419.0
영주,기타,7.0,5.0,5.0,5.0,7.0,5.0,6.0,5.0
영주,대구,46.0,49.0,41.0,49.0,46.0,45.0,49.0,52.0
영주,부울경,36.0,35.0,35.0,43.0,44.0,35.0,36.0,38.0
영주,수도권,201.0,159.0,111.0,138.0,148.0,145.0,140.0,152.0
영주,충청권,185.0,201.0,143.0,143.0,184.0,215.0,219.0,222.0
영주,호남,6.0,6.0,5.0,6.0,7.0,5.0,6.0,5.0
영천,강원,6.0,5.0,3.0,6.0,5.0,7.0,7.0,8.0
영천,경북,486.0,556.0,499.0,554.0,562.0,587.0,558.0,587.0
영천,기타,6.0,4.0,4.0,6.0,7.0,10.0,8.0,8.0
영천,대구,497.0,466.0,458.0,414.0,468.0,507.0,531.0,569.0
영천,부울경,98.0,100.0,93.0,107.0,122.0,124.0,122.0,125.0
영천,수도권,36.0,36.0,28.0,40.0,48.0,58.0,66.0,68.0
영천,충청권,27.0,29.0,24.0,29.0,32.0,38.0,39.0,44.0
영천,호남,4.0,3.0,4.0,5.0,5.0,12.0,5.0,8.0
전주,강원,39.0,28.0,17.0,19.0,21.0,23.0,25.0,25.0
전주,경북,62.0,47.0,36.0,39.0,47.0,50.0,53.0,65.0
전주,기타,432.0,391.0,330.0,365.0,417.0,422.0,430.0,462.0
전주,대구,58.0,50.0,35.0,42.0,47.0,48.0,49.0,53.0
전주,부울경,257.0,206.0,158.0,176.0,195.0,202.0,208.0,243.0
전주,수도권,894.0,675.0,535.0,635.0,681.0,706.0,737.0,810.0
전주,충청권,680.0,651.0,536.0,625.0,727.0,764.0,817.0,835.0
전주,호남,5035.0,5304.0,4652.0,4887.0,5349.0,5666.0,5802.0,6158.0
제천,강원,119.0,138.0,125.0,133.0,157.0,172.0,168.0,185.0
제천,경북,51.0,60.0,46.0,42.0,53.0,58.0,60.0,65.0
제천,기타,7.0,7.0,5.0,5.0,7.0,7.0,7.0,11.0
제천,대구,20.0,21.0,16.0,15.0,22.0,25.0,23.0,27.0
제천,부울경,28.0,26.0,16.0,17.0,21.0,24.0,25.0,28.0
제천,수도권,723.0,675.0,579.0,657.0,747.0,778.0,739.0,757.0
제천,충청권,352.0,430.0,391.0,396.0,461.0,488.0,539.0,521.0
제천,호남,11.0,11.0,7.0,8.0,9.0,10.0,10.0,12.0
포항,강원,61.0,46.0,41.0,37.0,44.0,48.0,46.0,56.0
포항,경북,3722.0,4028.0,3671.0,3859.0,4342.0,4480.0,4393.0,4564.0
포항,기타,57.0,44.0,37.0,40.0,52.0,61.0,61.0,66.0
포항,대구,456.0,452.0,490.0,438.0,443.0,478.0,461.0,487.0
포항,부울경,676.0,615.0,587.0,605.0,627.0,667.0,674.0,666.0
포항,수도권,312.0,234.0,207.0,250.0,248.0,279.0,303.0,326.0
포항,충청권,171.0,153.0,128.0,147.0,159.0,179.0,188.0,189.0
포항,호남,27.0,20.0,16.0,18.0,23.0,26.0,26.0,30.0
