wk,city,2018,2019,2020,2021,2022,2023,2024,2025
주말,경주,94.5,100.0,82.7,92.6,106.5,112.9,107.4,111.3
주말,군산,97.3,100.0,88.0,95.2,106.8,108.3,106.7,110.0
주말,안동,98.2,100.0,79.9,85.0,90.2,90.2,88.1,89.1
주말,전주,102.6,100.0,80.0,90.1,102.5,109.1,109.7,115.3
주말,포항,98.4,100.0,91.1,96.3,107.5,111.9,106.1,108.6
평일,경주,94.4,100.0,85.0,92.4,104.8,110.1,112.1,121.7
평일,군산,95.4,100.0,92.9,94.5,103.4,105.2,109.3,115.4
평일,안동,96.4,100.0,86.1,90.5,89.9,90.4,91.9,98.9
평일,전주,100.8,100.0,88.5,93.3,101.1,105.0,109.5,117.4
평일,포항,97.8,100.0,93.2,96.3,104.9,108.2,109.3,114.5
