city,y,도외비중,인접제외비중,tot,도외방문(만),인접생활권제외(만)
경주,2018,0.7812683588922877,1.0,40358683.0,3153.0962034464073,4035.8683
경주,2019,0.7550333828768254,1.0,42743734.0,3227.294607880718,4274.3734
경주,2020,0.7460210071686793,1.0,35981874.0,2684.323388129651,3598.1874
경주,2021,0.7470313562990909,1.0,39584505.0,2957.086645857815,3958.4505
경주,2022,0.7424615897072907,1.0,45253482.0,3359.897218551026,4525.3482
경주,2023,0.7385727288153896,1.0,48469571.0,3579.830331798127,4846.9571
경주,2024,0.7348614199491741,1.0,48282554.0,3548.098619121268,4828.2554
경주,2025,0.7409060102800319,1.0,51588505.0,3822.223341586148,5158.8505
군산,2018,0.6896792445897785,1.0,22728281.0,1567.5223670904215,2272.8281
군산,2019,0.6871503082029398,1.0,23651265.0,1625.1974034139403,2365.1265
군산,2020,0.6536417421532907,1.0,21615576.0,1412.884275428686,2161.5576
군산,2021,0.6589392662765012,1.0,22494454.0,1482.2479014050507,2249.4454
군산,2022,0.6624459853281077,1.0,24944165.0,1652.4161961611899,2494.4165
군산,2023,0.6807878693137408,1.0,26035941.0,1772.4952798968266,2603.5941
군산,2024,0.6986507059289692,1.0,26636127.0,1860.9348931763675,2663.6127
군산,2025,0.6877347878684976,1.0,27838266.0,1914.5343962136808,2783.8266
단양,2018,0.8390516079061362,1.0,8263083.0,693.315307741186,826.3083
단양,2019,0.7772832547367247,1.0,8439719.0,656.0052253383375,843.9719
단양,2020,0.7320823560072973,1.0,6765169.0,495.2660860307531,676.5169
단양,2021,0.7219501252476913,1.0,7269119.0,524.7941372490372,726.9119
단양,2022,0.7212175446094669,1.0,8817594.0,635.9403494043167,881.7594
단양,2023,0.7303124127604497,1.0,9483757.0,692.6105456703804,948.3757
단양,2024,0.7211765898492938,1.0,9737237.0,702.2267374214368,973.7237
단양,2025,0.7220630372492837,1.0,9494046.0,685.5299690544413,949.4046
안동,2018,0.5461921319970001,0.7358014590577486,18414043.0,1005.7605404854436,1354.9079706552125
안동,2019,0.4833607006020799,0.68648056923919,18972847.0,917.072861833607,1302.4490808648056
안동,2020,0.4738426797139631,0.6543720988583616,15904269.0,753.6121441851711,1040.7309886337976
안동,2021,0.48650927487352447,0.6658516020236087,16773523.0,816.0474511804385,1116.8677161129847
안동,2022,0.4762850587308654,0.6672716687784666,17101731.0,814.5298953734462,1141.1500583370434
안동,2023,0.4755508602475098,0.6675822517355872,17288001.0,822.1323747509811,1154.1162635587084
안동,2024,0.470137928708731,0.6527501433244529,17377527.0,816.9834549860049,1134.3183239874552
안동,2025,0.4475473607640975,0.6284196211138873,18319122.0,819.8674702615515,1151.2095706379077
영주,2018,0.6181241842252471,1.0,8722835.0,539.1795268506432,872.2835
영주,2019,0.5689722243834124,1.0,8883759.0,505.46121191161603,888.3759
영주,2020,0.5002880184331797,1.0,7727415.0,386.59331379608295,772.7415
영주,2021,0.5327529689934978,1.0,8104696.0,431.78008567897257,810.4696
영주,2022,0.5515485346081895,1.0,8846674.0,487.93700808563705,884.6674
영주,2023,0.5691711263747841,1.0,8950259.0,509.42289963760487,895.0259
영주,2024,0.5648946573028714,1.0,9242498.0,522.1037740332474,924.2498
영주,2025,0.5658490566037736,1.0,9645134.0,545.7689974716981,964.5134
영천,2018,0.5806288545142049,1.0,11592364.0,673.0861030431706,1159.2364
영천,2019,0.5366473149492017,1.0,11992037.0,643.549445682148,1199.2037
영천,2020,0.5515497435156419,1.0,11118165.0,613.2221054114586,1111.8165
영천,2021,0.5227407287798052,1.0,11608408.0,606.818765789332,1160.8408
영천,2022,0.5503047433972263,1.0,12489411.0,687.2982115537496,1248.9411
영천,2023,0.5630327501121579,1.0,13430480.0,756.1800089726335,1343.048
영천,2024,0.5822113022113022,1.0,13355879.0,777.5943704766586,1335.5879
영천,2025,0.5858129945391731,1.0,14161432.0,829.5950886882871,1416.1432
전주,2018,0.3249363778160879,1.0,74585102.0,2423.5412882923456,7458.5102
전주,2019,0.2786154988351553,1.0,73530751.0,2048.6806869588595,7353.0751
전주,2020,0.26148264708453534,1.0,62996340.0,1647.2449739837398,6299.634
전주,2021,0.2800614241597931,1.0,67875409.0,1900.928370996844,6787.5409
전주,2022,0.2852617500058662,1.0,74836932.0,2134.8114187390006,7483.6932
전주,2023,0.28106814549243664,1.0,78810390.0,2215.109016283567,7881.039
전주,2024,0.2854724825670886,1.0,81204878.0,2318.175811921756,8120.4878
전주,2025,0.28818271858331046,1.0,86514592.0,2493.201031968592,8651.4592
제천,2018,0.7997898396554408,1.0,13109645.0,1048.4960872489753,1310.9645
제천,2019,0.7475747262161099,1.0,13675701.0,1022.3608430888381,1367.5701
제천,2020,0.7252821701014864,1.0,11837005.0,858.5168673902144,1183.7005
제천,2021,0.746185968356431,1.0,12746999.0,951.1631792453459,1274.6999
제천,2022,0.7436702597865238,1.0,14769689.0,1098.3778455596162,1476.9689
제천,2023,0.7429009502494637,1.0,15609405.0,1159.624180732873,1560.9405
제천,2024,0.7127154461566784,1.0,15706209.0,1119.4057754865037,1570.6209
제천,2025,0.7319627543217764,1.0,16046284.0,1174.5282233269452,1604.6284
포항,2018,0.3209891808346213,1.0,54819776.0,1759.6554991777432,5481.9776
포항,2019,0.27985997863127704,1.0,55932620.0,1565.330183799134,5593.262
포항,2020,0.2909899858120859,1.0,51770463.0,1506.4686293855118,5177.0463
포항,2021,0.28454470862975284,1.0,53939285.0,1534.81381340222,5393.9285
포항,2022,0.2688476501223568,1.0,59381551.0,1596.4590446970885,5938.1551
포항,2023,0.2795545551122898,1.0,62188713.0,1738.5137995720875,6218.8713
포항,2024,0.28588086677679525,1.0,61512127.0,1758.514018404431,6151.2127
포항,2025,0.2850030143650084,1.0,63833255.0,1819.2670091730245,6383.3255
