AREA_NM,2018,2019,2020,2021,2022,2023,2024,2025,2019→2025%,2019→2023%,비중2025%
감포읍,1915809.0,2281230.0,2469016.0,2769196.0,2968140.0,3056025.0,3019642.0,3290304.0,44.233768624820826,33.963914204179325,3.8539148883790917
강동면,1419190.0,1528656.0,1360642.0,1479184.0,1541614.0,1639046.0,1650890.0,1656550.0,8.36643430569075,7.2213761631132245,1.9403078585882596
건천읍,4822066.0,5022686.0,2915759.0,3429002.0,5692708.0,6431128.0,6223322.0,6590535.0,31.215349715271866,28.041609608882577,7.7194572169877
내남면,2368226.0,2629151.0,2297508.0,2396219.0,2636588.0,2985108.0,3047922.0,3345426.0,27.24358547683263,13.53885722044874,3.91847898229784
동천동,1351914.0,1379819.0,1185622.0,1184281.0,1407508.0,1447722.0,1590680.0,1879073.0,36.18257177209474,4.921152701912357,2.200947818514996
문무대왕면,,,,1190858.0,1811548.0,2012836.0,2431446.0,2273495.0,,,2.6629321269874833
보덕동,9403006.0,9916148.0,6370724.0,7862082.0,9926707.0,10164578.0,9439808.0,9780558.0,-1.367365634316875,2.5053075044866313,11.455913524359827
불국동,3958612.0,4640912.0,3298578.0,4040813.0,4779856.0,4945332.0,4929631.0,5470087.0,17.86663914334079,6.559486583671492,6.40708266775013
산내면,726369.0,730604.0,830445.0,880772.0,953900.0,975664.0,920122.0,956529.0,30.923044494692054,33.54211036348007,1.1203771305831816
서면,415604.0,448704.0,451336.0,473466.0,603071.0,643268.0,742784.0,798035.0,77.85332869776067,43.36132506061902,0.934733984442656
선도동,1301692.0,1356330.0,1170848.0,1342397.0,1515658.0,1566610.0,1591107.0,1750308.0,29.047355732012115,15.503601630871543,2.050126085750445
성건동,2904864.0,2929118.0,2125529.0,2155478.0,2569976.0,2606639.0,2634422.0,3279798.0,11.972204602204496,-11.009423314458477,3.8416092686499392
안강읍,2107844.0,2356784.0,2325712.0,2348062.0,2400566.0,2455722.0,2540237.0,2811420.0,19.290524715035406,4.198008812008225,3.2930007061617244
양남면,3075051.0,3370696.0,3455588.0,3618265.0,3728666.0,3722114.0,3746225.0,3688391.0,9.425204764831951,10.425680630943868,4.320191991093664
양북면,1332240.0,1475824.0,1411032.0,454153.0,,,,,,,
외동읍,3170398.0,3280424.0,3286426.0,3420326.0,3593751.0,3957726.0,3984754.0,4253924.0,29.676041877513406,20.646782245221964,4.982597668067492
용강동,941868.0,940132.0,798861.0,776296.0,958884.0,1030116.0,1115933.0,1389154.0,47.7615909255296,9.57142188543736,1.6271084017924695
월성동,3806184.0,4349874.0,2913396.0,3897554.0,4571312.0,5062096.0,5392989.0,6185336.0,42.19575095738406,16.37339380405041,7.2448498679839854
중부동,4884330.0,5128690.0,4197666.0,5002238.0,6006200.0,5556642.0,4820364.0,3799548.0,-25.915818659345756,8.344275048794136,4.450389570784646
천북면,1796501.0,1904154.0,1744820.0,1986870.0,2345144.0,2466734.0,2524809.0,2655782.0,39.47306782959781,29.544879248212077,3.1107027770349496
현곡면,810666.0,889602.0,871157.0,760207.0,790528.0,888878.0,956683.0,1037708.0,16.64856868577185,-0.08138470911711604,1.2154616445745108
황남동,5393762.0,6241529.0,4863646.0,6763032.0,7400662.0,8353048.0,7773073.0,8723684.0,39.768380472156736,33.83015604029076,10.218002849923433
황성동,2033514.0,2307602.0,1915134.0,2266894.0,2642997.0,2590956.0,2506217.0,2638164.0,14.324913914964533,12.279153857554292,3.0900669110166534
황오동,3789152.0,4183879.0,3084134.0,4152768.0,4704665.0,4873960.0,5310546.0,7121818.0,70.220458096422,16.4938087358645,8.341746058274921
