AREA_NM,2018,2019,2020,2021,2022,2023,2024,2025,2019→2025%,2019→2023%,비중2025%
강남동,1780768.0,1839173.0,1564969.0,1556065.0,1578024.0,1659990.0,1641818.0,1784132.0,-2.9927037858863748,-9.742585390281388,6.664166544026188
길안면,524538.0,600341.0,641074.0,725854.0,641168.0,572831.0,558138.0,565204.0,-5.8528403024281195,-4.5823956717931935,2.111174278220321
남선면,149450.0,153013.0,132454.0,135079.0,156874.0,168707.0,157626.0,165431.0,8.115650304222521,10.256644860240627,0.6179249828739108
남후면,394432.0,530180.0,414536.0,481404.0,570199.0,650730.0,627284.0,700098.0,32.049115394771576,22.737560828397907,2.6150361459464024
녹전면,135160.0,143094.0,138876.0,142670.0,146822.0,150056.0,141771.0,141778.0,-0.9196751785539581,4.8653332774260205,0.5295752804607199
도산면,413710.0,447360.0,352520.0,397502.0,521168.0,570840.0,602284.0,628866.0,40.57269313304721,27.601931330472105,2.348967317370897
명륜동,1000762.0,1143548.0,1020022.0,1131858.0,1273828.0,1345162.0,1362697.0,1327984.0,16.1284003819691,17.630567322053814,4.960342925188312
북후면,286430.0,305452.0,301948.0,300948.0,324334.0,323502.0,314674.0,331670.0,8.583345337401616,5.909275434438155,1.2388680420827416
서구동,1900647.0,2148846.0,1756748.0,2198812.0,2405694.0,2560327.0,2680086.0,2724054.0,26.768228155949746,19.148929239228863,10.175003604509484
서후면,765926.0,807583.0,617190.0,721270.0,748496.0,813561.0,872966.0,884566.0,9.532518638951037,0.7402335116019065,3.304068949597378
송하동,1086978.0,1109836.0,1000734.0,1029490.0,1106598.0,1150874.0,1117515.0,1168398.0,5.276635466861768,3.6976634385621043,4.364250437583716
안기동,236397.0,273228.0,257442.0,258426.0,278614.0,278092.0,280854.0,308168.0,12.787854831862045,1.7801982227297453,1.1510823613608536
예안면,136636.0,142786.0,133822.0,133542.0,134673.0,128254.0,125842.0,127978.0,-10.37076464079112,-10.177468379252863,0.4780289272158022
옥동,2556690.0,2539618.0,2051410.0,2088412.0,2316100.0,2504628.0,2590077.0,2726493.0,7.35839012008892,-1.3777662624851472,10.184113862159075
와룡면,497340.0,505155.0,482444.0,515736.0,540554.0,538125.0,519950.0,528616.0,4.644317090793915,6.526709623778837,1.9745092077474917
용상동,2486764.0,2635864.0,2067807.0,1782599.0,1891540.0,1972040.0,2089070.0,2211265.0,-16.108532154921495,-25.184303894282866,8.259612087545133
일직면,434147.0,463718.0,411240.0,458650.0,531976.0,535210.0,517461.0,579635.0,24.99730439620631,15.417128513449985,2.1650775697911477
임동면,239810.0,240334.0,241000.0,243092.0,237426.0,258688.0,229954.0,240352.0,0.007489577005337367,7.636872019772478,0.8977731228349597
임하면,260841.0,272776.0,254821.0,266238.0,264719.0,302152.0,262280.0,301788.0,10.635833064492473,10.769275889374441,1.127251511092551
중구동,3462798.0,3387142.0,2611343.0,2731932.0,2906054.0,3038368.0,3046054.0,3340078.0,-1.3894900184285186,-10.296999653395101,12.476002931418698
태화동,909783.0,975828.0,880726.0,889000.0,946022.0,950726.0,1042458.0,1184564.0,21.390654910496522,-2.5723795586927167,4.424634375740045
평화동,258612.0,299778.0,235438.0,213252.0,210021.0,224130.0,252752.0,210564.0,-29.76002241658827,-25.2346736585073,0.786507704685713
풍산읍,4206912.0,4113820.0,3057932.0,3238585.0,2818123.0,2228062.0,2239730.0,2459534.0,-40.21289215376462,-45.83958461964792,9.18695712912212
풍천면,1503810.0,1691277.0,1564962.0,1948464.0,1983814.0,1961351.0,1988126.0,2130804.0,25.987877798846682,15.968643811746986,7.959070701426339
