AREA_NM,2018,2019,2020,2021,2022,2023,2024,2025,2019→2025%,2019→2023%,비중2025%
가흥1동,2028152.0,1791776.0,1584667.0,1641720.0,1770318.0,1788479.0,1897994.0,2210789.0,23.38534504313039,-0.18400737592199068,15.867436625395431
가흥2동,639758.0,710220.0,570028.0,592088.0,717084.0,787042.0,840224.0,938116.0,32.088085381994304,10.816648362479242,6.733114818858543
단산면,159274.0,171913.0,163520.0,182388.0,212926.0,223584.0,227552.0,243926.0,41.88921140344244,30.05648205778504,1.750723540910601
문수면,340204.0,375176.0,345160.0,407512.0,531332.0,449550.0,434434.0,429688.0,14.52971405420389,19.823762714032878,3.0839881638152318
봉현면,587562.0,502974.0,413984.0,509772.0,690711.0,602522.0,601136.0,597202.0,18.734169161825463,19.79187791019019,4.286281905491389
부석면,586926.0,629044.0,477043.0,542465.0,639268.0,639314.0,676046.0,689101.0,9.54734485981903,1.6326361907911036,4.945866134668038
상망동,287875.0,300766.0,281995.0,289716.0,329892.0,324194.0,323312.0,342772.0,13.966339280370788,7.789444285590785,2.4601682869600143
순흥면,504234.0,582096.0,427560.0,472297.0,565530.0,576936.0,618954.0,656198.0,12.730202578268868,-0.8864517193040378,4.709712314794054
안정면,302502.0,336686.0,296586.0,301693.0,364900.0,391195.0,386802.0,400386.0,18.919705601064486,16.18986236433948,2.873679704709755
영주1동,608002.0,657576.0,497973.0,711056.0,718935.0,727860.0,731650.0,802823.0,22.08824531308928,10.688346290010585,5.762079996738647
영주2동,569996.0,546206.0,471534.0,446607.0,490654.0,576457.0,682476.0,829188.0,51.80865827178758,5.538386616038626,5.951308804475863
이산면,158806.0,174864.0,177510.0,181804.0,185440.0,199815.0,202615.0,205054.0,17.26484582303962,14.268803184188862,1.471728577346746
장수면,305298.0,334565.0,321262.0,364273.0,314097.0,308424.0,319564.0,324880.0,-2.8948037003272864,-7.813429378446635,2.3317525149883
평은면,253928.0,230671.0,267176.0,283353.0,279251.0,284868.0,292439.0,303863.0,31.730039753588436,23.495367861586413,2.1809077642880133
풍기읍,1830752.0,1962996.0,1573806.0,1700237.0,1893801.0,1657302.0,1692880.0,1725738.0,-12.086524883392524,-15.57282847239627,12.386093085788225
하망동,1334700.0,1286772.0,930300.0,782537.0,934458.0,944738.0,956210.0,862600.0,-32.96403714100089,-26.580777324965112,6.1911158564051565
휴천1동,325440.0,328674.0,312098.0,320243.0,338590.0,337848.0,342338.0,368998.0,12.26869177361154,2.791215611822051,2.648399453723383
휴천2동,997815.0,963372.0,805217.0,800821.0,920598.0,1026361.0,1220390.0,1278890.0,32.7514189741865,6.538388078540791,9.178942913978657
휴천3동,950873.0,962042.0,863804.0,836294.0,826616.0,830764.0,751118.0,722656.0,-24.88311321127352,-13.645765985268831,5.1866995366639514
