ITS_BRO_NM,KTO_CATE_NAME_B,2018,2019,2020,2021,2022,2023,2024,2025,19→25%
CGV안동,공연시설,5662.0,6349.0,3364.0,3077.0,3320.0,3188.0,3594.0,3277.0,-48.38557253110726
CM파크호텔,호텔,605.0,4901.0,7390.0,7841.0,7521.0,6231.0,4963.0,3934.0,-19.730667210773312
W모텔,모텔,,474.0,637.0,988.0,993.0,1108.0,748.0,803.0,69.40928270042195
강노을펜션,펜션/민박,753.0,1095.0,657.0,,,,,,
개목나루,기타관광,,,,646.0,834.0,792.0,,,
갤러리호텔,모텔,238.0,,,,,,,,
경북예술센터,전시시설,442.0,,,,,,,,
경상북도독립운동기념관,전시시설,882.0,1840.0,980.0,1242.0,1241.0,1455.0,1169.0,1231.0,-33.097826086956516
경상북도산림과학박물관휴관중(2024년01월개관예정),전시시설,503.0,706.0,,,,,,,
계명산자연휴양림,자연공원,1008.0,1273.0,1640.0,1741.0,1720.0,1742.0,1626.0,,
고려호텔,호텔,1428.0,2303.0,2486.0,2752.0,3264.0,2723.0,2361.0,2366.0,2.735562310030404
고산정,역사유적지,868.0,731.0,994.0,1201.0,1053.0,1809.0,1247.0,1328.0,81.66894664842681
구담시장,시장,806.0,1131.0,1324.0,1512.0,1508.0,1420.0,1305.0,1394.0,23.253757736516366
구름에,콘도미니엄,1518.0,2472.0,3173.0,4056.0,3646.0,2664.0,2188.0,1868.0,-24.433656957928807
권정생동화나라,기타문화관광지,456.0,840.0,450.0,620.0,880.0,987.0,867.0,859.0,2.261904761904754
그라스원,기타관광,,2096.0,2173.0,1674.0,1309.0,1319.0,,,
금소생태공원,도시공원,,592.0,3477.0,2948.0,1915.0,1507.0,8235.0,936.0,58.10810810810811
길안천지생태공원,도시공원,,,,955.0,966.0,1102.0,1077.0,858.0,
꿈의궁전,모텔,,,,,,1749.0,1509.0,1727.0,
꿈의궁전모텔,모텔,,674.0,1285.0,1573.0,1776.0,,,,
낙강물길공원,도시공원,,536.0,10163.0,16197.0,16313.0,17542.0,13707.0,12243.0,2184.141791044776
낙동강12경(부용경)부용대,역사유적지,4382.0,7846.0,7432.0,9620.0,7940.0,6504.0,5044.0,4696.0,-40.14784603619679
남안동CC,육상레저스포츠,3457.0,5716.0,2157.0,2483.0,10237.0,9063.0,7651.0,8312.0,45.41637508747376
넘버25호텔안동역점,모텔,,,759.0,1447.0,1512.0,1362.0,1095.0,1007.0,
농암종택,역사유적지,785.0,1901.0,2423.0,2648.0,2566.0,1842.0,1115.0,1119.0,-41.13624408206207
다우모텔,모텔,250.0,,,,,,,,
단호샌드파크캠핑장,캠핑,1085.0,1537.0,1140.0,1308.0,1676.0,1026.0,858.0,,
더스터닝풀빌라,펜션/민박,,,624.0,1377.0,1328.0,828.0,,,
도산서원,역사유적지,13739.0,19108.0,19379.0,24009.0,25136.0,27227.0,24660.0,26772.0,40.10885492987231
도산서원선비문화수련원,육상레저스포츠,250.0,366.0,,,,,,,
도산원탕,웰니스관광,363.0,,,,,,,,
로미오모텔,모텔,174.0,418.0,,,,,,,
롯데시네마프리미엄안동,공연시설,,2640.0,1359.0,1830.0,2797.0,2976.0,1934.0,1607.0,-39.128787878787875
리버힐CC,육상레저스포츠,4516.0,4323.0,5975.0,12457.0,12525.0,9251.0,7042.0,8536.0,97.4554707379135
리첼호텔,호텔,5232.0,6637.0,4412.0,4911.0,5890.0,5310.0,4832.0,7162.0,7.910200391743261
리치모텔,모텔,,617.0,870.0,1420.0,1780.0,1774.0,1283.0,,
마애솔숲유원지,복합관광시설,,,571.0,,,,,,
만운지,자연경관(하천/해양),724.0,1321.0,1427.0,1119.0,872.0,,,,
만휴정,역사유적지,2877.0,5178.0,9008.0,10819.0,12868.0,12368.0,11381.0,6036.0,16.570104287369645
모로펜션,펜션/민박,639.0,1144.0,812.0,,,,,,
모텔캐슬,모텔,161.0,760.0,727.0,1061.0,1369.0,1124.0,1143.0,1116.0,46.84210526315788
묵계서원,역사유적지,312.0,627.0,1019.0,945.0,1055.0,1147.0,1232.0,941.0,50.079744816586924
문화호텔,모텔,,,602.0,,737.0,1012.0,843.0,,
미스터션샤인촬영지(만휴정),기타문화관광지,3258.0,8051.0,5831.0,4326.0,829.0,,,,
병산서원,역사유적지,8844.0,14501.0,12583.0,13659.0,13845.0,12180.0,11156.0,15277.0,5.351355078960074
봉정사,종교성지,7469.0,10139.0,7527.0,10002.0,11381.0,11316.0,11941.0,13526.0,33.405661307821276
봉정사극락전,역사유적지,262.0,715.0,637.0,,,,,,
부포선착장,교통시설,255.0,,,,,,,,
브라운도트호텔안동문화의거리점,호텔,,,,,1252.0,2664.0,2168.0,2175.0,
브라운도트호텔안동옥동점,호텔,,,,,,,2166.0,2748.0,
브라운도트호텔안동풍산점,호텔,,,,,,2874.0,2657.0,2364.0,
브라운도트호텔태화점,모텔,,,,,,,,2160.0,
비앤비모텔,모텔,,,,,2321.0,2362.0,2026.0,2370.0,
빙수곳간,테마공원,,,,,,,2640.0,,
샾호텔,모텔,,447.0,675.0,999.0,1076.0,729.0,,998.0,123.2662192393736
석동선착장,교통시설,298.0,1221.0,1313.0,1123.0,1289.0,1635.0,987.0,922.0,-24.488124488124484
선성수상길,기타레저스포츠,,,708.0,2454.0,3048.0,3611.0,4857.0,5091.0,
선성현문화단지한옥체험관,기타관광,,751.0,681.0,1645.0,1522.0,1332.0,888.0,,
세계물포럼기념센터,전시시설,406.0,700.0,522.0,,,763.0,,,
센트럴호텔,모텔,821.0,1467.0,1104.0,1573.0,1708.0,1178.0,930.0,,
쇼모텔,모텔,207.0,1116.0,1652.0,1998.0,1943.0,1916.0,1757.0,1767.0,58.33333333333333
수산궁모텔,모텔,,605.0,501.0,719.0,982.0,,,,
수애당,역사유적지,,,729.0,,,,,,
스위트호텔,모텔,,,,978.0,3030.0,3023.0,2166.0,1625.0,
스탠포드호텔안동,호텔,,,,,,,3345.0,13308.0,
스테이호텔,호텔,183.0,,,,,,,,
스튜디오131호텔,모텔,370.0,597.0,,,,,,,
