,,2018,2019,2020,2021,2022,2023,2024,2025
안동,읍면동 합계,95.7,100.0,82.9,88.1,91.6,93.0,94.4,100.0
안동,합계(풍산·용상 제외),94.6,100.0,85.2,92.7,99.0,103.3,104.6,110.4
안동,관광권역,90.5,100.0,90.0,103.6,107.6,110.5,110.2,116.2
안동,도심,96.2,100.0,83.0,88.2,94.9,100.0,102.2,107.7
안동,비관광 급감,99.2,100.0,75.9,74.4,69.8,62.2,64.1,69.2
경주,읍면동 합계,92.0,100.0,79.9,93.3,109.0,114.6,113.9,123.2
경주,관광권역,89.7,100.0,78.3,95.1,108.8,115.8,114.2,122.7
경주,도심,94.4,100.0,79.4,92.6,108.7,107.9,107.4,119.9
영주,읍면동 합계,99.4,100.0,83.9,88.5,99.0,98.7,102.7,108.4
영주,관광권역,94.9,100.0,80.5,90.3,107.3,98.2,100.6,102.8
영주,도심,102.6,100.0,83.7,85.1,93.4,97.3,102.6,110.7
