구분1,구분2,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국평균,경북-평균,경북순위(17)
운영서비스,노선체계적절성,5.0,4.93,4.89,4.92,4.81,4.89,4.67,4.74,4.87,4.79,4.85,4.5,4.78,4.74,4.79,4.79,4.75,4.806470588235294,-0.016470588235294237,10.0
운영서비스,배차간격적절성,4.74,4.65,4.63,4.46,4.59,4.62,4.41,4.36,4.5,4.81,4.51,4.29,4.5,4.65,4.43,4.51,4.39,4.532352941176471,-0.10235294117647165,13.0
운영서비스,이용요금합리성,4.77,4.65,4.6,4.59,4.61,4.59,4.44,4.46,4.65,4.55,4.57,4.51,4.52,4.56,4.56,4.61,4.33,4.562941176470588,-0.002941176470588225,10.5
이용환경서비스,기사-역무원친절도,4.62,4.66,4.65,4.62,4.62,4.68,4.54,4.54,4.6,4.62,4.69,4.59,4.56,4.55,4.59,4.59,4.4,4.595294117647059,-0.005294117647059338,11.0
이용환경서비스,시설이용편리성,4.72,4.68,4.48,4.6,4.63,4.83,4.38,4.53,4.54,4.57,4.68,4.41,4.61,4.54,4.52,4.47,4.39,4.563529411764706,-0.04352941176470626,12.0
이용환경서비스,교통약자시설,4.59,4.55,4.56,4.59,4.56,4.56,4.56,4.51,4.53,4.47,4.58,4.38,4.52,4.5,4.51,4.53,4.42,4.524705882352941,-0.014705882352941124,12.5
쾌적환경서비스,차량내부혼잡도,4.02,4.16,4.33,3.98,4.41,4.46,4.24,4.62,3.95,5.22,4.52,4.43,4.58,4.77,4.46,4.54,4.41,4.417647058823529,0.04235294117647115,7.5
쾌적환경서비스,이용시설청결성,4.65,4.57,4.59,4.55,4.53,4.63,4.46,4.57,4.56,4.53,4.53,4.5,4.53,4.47,4.5,4.56,4.39,4.536470588235295,-0.0364705882352947,13.5
안전환경서비스,(버스)급출발-급제동-차로변경-안전거리확보,4.44,4.16,4.26,3.95,4.44,4.63,4.26,4.77,4.25,4.68,4.67,4.57,4.69,4.83,4.57,4.46,4.49,4.477647058823528,0.09235294117647186,7.5
안전환경서비스,(버스)비상시대처방안안내,4.38,4.36,4.33,4.25,4.33,4.44,4.3,4.44,4.36,4.47,4.43,4.35,4.4,4.36,4.39,4.36,4.35,4.370588235294116,0.01941176470588335,6.0
안전환경서비스,(버스)범죄행위안전성,4.61,4.62,4.54,4.54,4.57,4.6,4.58,4.41,4.54,4.5,4.55,4.5,4.52,4.53,4.5,4.54,4.45,4.53529411764706,-0.035294117647059586,14.0
안전환경서비스,(지하철)급출발-급제동-차로변경-안전거리확보,4.79,4.88,5.09,4.82,5.08,5.1,0.0,0.0,4.82,5.05,0.0,4.9,0.0,0.0,4.92,4.94,0.0,3.199411764705882,1.7205882352941178,6.0
안전환경서비스,(지하철)비상시대처방안안내,4.65,4.67,4.68,4.65,4.72,4.7,0.0,0.0,4.68,4.88,0.0,4.75,0.0,0.0,4.8,4.73,0.0,3.0535294117647056,1.7464705882352942,2.0
안전환경서비스,(지하철)범죄행위안전성,4.57,4.67,4.6,4.62,4.57,4.44,0.0,0.0,4.58,4.78,0.0,4.73,0.0,0.0,4.5,4.78,0.0,2.9905882352941178,1.5094117647058822,10.0
정보제공서비스,대중교통변경정보제공,5.1,5.12,5.08,5.11,5.03,5.15,5.04,5.09,5.05,4.94,5.02,4.84,5.04,5.02,5.08,5.07,5.1,5.051764705882353,0.028235294117647136,7.5
정보제공서비스,대중교통제공정보정확성,4.99,4.96,4.97,5.03,4.96,5.04,4.93,4.84,4.94,4.82,4.91,4.75,4.9,4.87,4.88,4.92,4.9,4.918235294117648,-0.03823529411764781,13.0
접근서비스,접근 거리및시간,5.16,5.16,5.21,5.18,5.25,5.16,5.28,5.28,5.23,5.24,5.2,5.09,5.2,5.15,5.21,5.24,5.19,5.201764705882352,0.008235294117647562,7.5
환승서비스,환승노선(체계)구축,4.8,4.9,4.93,4.86,4.96,5.0,4.96,4.14,4.86,4.6,4.57,4.59,4.55,4.68,4.52,4.49,4.21,4.683529411764705,-0.16352941176470548,14.0
환승서비스,환승정보제공적절성,4.59,4.54,4.52,4.5,4.53,4.5,4.39,4.44,4.53,4.35,4.33,4.14,4.31,4.11,4.31,4.54,4.51,4.420000000000001,-0.11000000000000121,14.5
환승서비스,환승요금적절성,4.91,4.9,4.94,4.9,4.9,4.97,4.87,4.94,4.84,4.64,4.61,4.72,4.74,4.73,4.67,4.79,4.6,4.804117647058823,-0.13411764705882323,14.0
