BASE_YM,풍산 외지인,풍산 현지인,용상 외지인,용상 현지인,풍천 외지인,풍천 현지인,예천 호명면 외지인,예천읍 외지인
201801,314010.0,190946.0,171392.0,724384.0,86744.0,74991.0,130442.0,138492.0
201802,345870.0,176365.0,200610.0,663030.0,91948.0,71278.0,134029.0,167024.0
201803,282947.0,204953.0,310138.0,794647.0,111713.0,87528.0,148320.0,168161.0
201804,345044.0,188290.0,174598.0,767711.0,133150.0,88154.0,134589.0,152128.0
201805,379764.0,192560.0,198289.0,919723.0,146514.0,97524.0,154147.0,171314.0
201806,328766.0,183404.0,170947.0,880918.0,120998.0,98546.0,145904.0,158396.0
201807,350060.0,187278.0,176116.0,849786.0,132430.0,120449.0,164822.0,165865.0
201808,409038.0,179512.0,211900.0,801734.0,136056.0,129549.0,160853.0,163132.0
201809,432274.0,182987.0,321080.0,774704.0,153716.0,136398.0,168798.0,223898.0
201810,407974.0,191916.0,188324.0,807334.0,158606.0,106250.0,153164.0,156387.0
201811,328136.0,188433.0,177992.0,812595.0,127589.0,100891.0,143367.0,144232.0
201812,283031.0,189178.0,185378.0,839195.0,104346.0,105308.0,148698.0,138470.0
201901,319816.0,197796.0,163300.0,762125.0,105392.0,96152.0,147630.0,139268.0
201902,331191.0,171678.0,221277.0,686238.0,123952.0,86978.0,159096.0,169788.0
201903,275555.0,207546.0,321265.0,808406.0,138548.0,103236.0,181920.0,165588.0
201904,299562.0,194208.0,182914.0,786656.0,135468.0,100188.0,145282.0,152173.0
201905,323516.0,184289.0,195668.0,935935.0,151809.0,114552.0,163398.0,166274.0
201906,308046.0,179512.0,189858.0,891608.0,137368.0,110747.0,137263.0,146503.0
201907,323102.0,185454.0,206342.0,835359.0,135037.0,106816.0,175105.0,168294.0
201908,438200.0,185843.0,234136.0,797374.0,158403.0,102221.0,167615.0,168752.0
201909,401874.0,193658.0,325154.0,811692.0,146727.0,102770.0,163023.0,207182.0
201910,432446.0,207655.0,209766.0,837680.0,181657.0,109106.0,153265.0,169866.0
201911,355862.0,203077.0,195898.0,885112.0,156912.0,100632.0,161966.0,155978.0
201912,304650.0,198286.0,190288.0,888318.0,120004.0,99029.0,157444.0,141278.0
202001,408359.0,194824.0,207134.0,787108.0,131663.0,94378.0,179344.0,185731.0
202002,189270.0,169712.0,142132.0,709793.0,94997.0,86485.0,127946.0,108090.0
