region,year,vis,stay_hours,overnight_vis,overnight_hours,daytrip_vis,daytrip_hours,n1,n2,n3to6,n7p,overnight_ex7_vis,overnight_ex7_hours,avg_stay,daytrip_stay,overnight_stay,overnight_ex7_stay,daytrip_share,overnight_share,n1_share_all,n2_share_all,n3to6_share_all,n7_share_all,n1_share_ovn,n2_share_ovn,n3to6_share_ovn,n7_share_ovn
가평군,2018,13735344.0,240286554.48999998,3132883.0,178217738.7499999,10602461.0,62068815.739999995,2614987.0,397343.0,95888.0,24665.0,3108218.0,127120293.75999999,17.494032511308053,5.8541894886479655,56.88617760382367,40.89812675944866,77.19108454800987,22.808915451990135,19.038380109009285,2.892850736028162,0.6981113833042696,0.17957322364842118,83.46902836780052,12.682982415877007,3.060695212684291,0.7872940036381825
가평군,2019,12562461.0,267555019.27,2954074.0,209063094.27,9608387.0,58491925.00000001,2453447.0,362140.0,106074.0,32413.0,2921661.0,138279936.78000006,21.297978100787738,6.08759045612963,70.77110941364367,47.329220186736265,76.48491008250691,23.515089917493075,19.529986998566603,2.8827154169871654,0.8443727705900939,0.2580147313492157,83.05299731827978,12.259002313415305,3.5907698994676505,1.0972304688372736
가평군,2020,12967306.0,242681620.20999998,2814578.0,187024721.09999996,10152728.0,55656899.11,2351033.0,347259.0,86298.0,29988.0,2784590.0,122808982.02999999,18.714883431454457,5.4819649566106765,66.44858344661259,44.10307514930384,78.29481312463822,21.705186875361775,18.13046595800238,2.6779579351331724,0.6655044617594433,0.23125852046678008,83.53056834807919,12.33787089929645,3.0661079565036036,1.0654527961207683
가평군,2021,13619813.0,230721022.56000006,2571395.0,175769259.04000002,11048418.0,54951763.52,2119289.0,344694.0,81038.0,26374.0,2545021.0,118321854.34,16.940102082165158,4.973722348303622,68.35560426927796,46.49150413297179,81.12018865457257,18.87981134542743,15.560338456923015,2.5308276993230376,0.5950008271038669,0.19364436207751162,82.41787045553095,13.404941675627432,3.1515189226081564,1.0256689462334647
가평군,2022,15736211.0,281198283.38,3518097.0,213474537.78000003,12218114.0,67723745.6,2928904.0,461249.0,98119.0,29825.0,3488272.0,147286851.14,17.869503871039857,5.542896849710192,60.67898007928719,42.22344219143461,77.64330307975662,22.35669692024338,18.61251097865935,2.931131261521595,0.6235236678003364,0.18953101226210045,83.25250838734691,13.110752773445416,2.7889793828879648,0.8477594563197093
가평군,2023,13917562.0,279163857.87,3603150.0,214938522.12999997,10314412.0,64225335.74,2985981.0,474887.0,110882.0,31400.0,3571750.0,149090422.47,20.058387946825746,6.226756866023967,59.65294870599336,41.74156155106041,74.11076738871363,25.889232611286374,21.4547705984712,3.4121421553573823,0.7967056299084566,0.2256142275493366,82.87140418800216,13.179773253958341,3.0773628630503866,0.8714596949891068
가평군,2024,13925123.0,228882773.81999993,3078607.0,174031502.98,10846516.0,54851270.839999996,2541084.0,415158.0,96979.0,25386.0,3053221.0,124313953.21,16.436678786966546,5.057040513285556,56.529301395079,40.71567476117844,77.8917069529655,22.108293047034486,18.24819787947295,2.9813596619577436,0.6964319094344804,0.1823035961693121,82.54005788981836,13.485254857148055,3.150093532561967,0.8245937204716289
가평군,2025,14150869.0,232134720.11999997,2848350.0,178553468.67,11302519.0,53581251.449999996,2312127.0,413870.0,95867.0,26486.0,2821864.0,123598749.41,16.40427313121194,4.740646881460672,62.68663214492601,43.800392013931216,79.87155417805083,20.128445821949168,16.339116700182863,2.9246967094388334,0.6774636949857992,0.18716871734166998,81.17425878139976,14.530166587673566,3.365702950831183,0.9298716800954938
가평군,2026,14050012.0,220819230.37,2713371.0,169478361.59000006,11336641.0,51340868.78,2206171.0,391244.0,91767.0,24189.0,2689182.0,119399129.75,15.716657777231791,4.528754926613624,62.460445545411986,44.39979508638687,80.68776738411326,19.312232615886735,15.70227128631634,2.7846524259196364,0.6531453496267476,0.17216355402401082,81.30738479920365,14.419111872279904,3.382029217530518,0.8914741109859285
삼척시,2018,5575028.0,168223763.60999998,1210225.0,145159312.76999995,4364803.0,23064450.84,816481.0,262758.0,99642.0,31344.0,1178881.0,77986915.06000002,30.17451456925418,5.284190567134416,119.94407054060191,66.15333953130131,78.29203727766031,21.70796272233969,14.645325548140745,4.713124310765793,1.787291471899334,0.5622213915338183,67.46522340887026,21.711499927699396,8.233345039145613,2.5899316242847403
