SGG_CD,SGG_NM,BASE_YM,SIDO_NM,LODG_TOU_NUM_RATE,AVG_LODG_DAYS,year,month
51810,강원특별자치도 인제군,201801,인제군,10.7,2.66,2018,1
51810,강원특별자치도 인제군,201802,인제군,15.3,2.72,2018,2
51810,강원특별자치도 인제군,201803,인제군,12.5,2.68,2018,3
51810,강원특별자치도 인제군,201804,인제군,12.3,2.6,2018,4
51810,강원특별자치도 인제군,201805,인제군,15.2,2.81,2018,5
51810,강원특별자치도 인제군,201806,인제군,14.2,3.22,2018,6
51810,강원특별자치도 인제군,201807,인제군,17.1,3.64,2018,7
51810,강원특별자치도 인제군,201808,인제군,17.3,2.92,2018,8
51810,강원특별자치도 인제군,201809,인제군,14.5,2.98,2018,9
51810,강원특별자치도 인제군,201810,인제군,10.5,2.55,2018,10
51810,강원특별자치도 인제군,201811,인제군,12.7,2.58,2018,11
51810,강원특별자치도 인제군,201812,인제군,12.5,2.62,2018,12
51810,강원특별자치도 인제군,201901,인제군,8.5,2.98,2019,1
51810,강원특별자치도 인제군,201902,인제군,12.3,2.68,2019,2
51810,강원특별자치도 인제군,201903,인제군,10.0,3.35,2019,3
51810,강원특별자치도 인제군,201904,인제군,10.2,4.03,2019,4
51810,강원특별자치도 인제군,201905,인제군,13.0,3.23,2019,5
51810,강원특별자치도 인제군,201906,인제군,12.2,3.23,2019,6
51810,강원특별자치도 인제군,201907,인제군,14.1,2.7,2019,7
51810,강원특별자치도 인제군,201908,인제군,15.2,2.93,2019,8
51810,강원특별자치도 인제군,201909,인제군,11.7,2.64,2019,9
51810,강원특별자치도 인제군,201910,인제군,8.6,2.53,2019,10
51810,강원특별자치도 인제군,201911,인제군,10.2,3.16,2019,11
51810,강원특별자치도 인제군,201912,인제군,9.0,2.65,2019,12
51810,강원특별자치도 인제군,202001,인제군,10.6,2.67,2020,1
51810,강원특별자치도 인제군,202002,인제군,9.0,3.73,2020,2
51810,강원특별자치도 인제군,202003,인제군,8.2,3.74,2020,3
51810,강원특별자치도 인제군,202004,인제군,9.9,4.69,2020,4
51810,강원특별자치도 인제군,202005,인제군,10.7,2.9,2020,5
51810,강원특별자치도 인제군,202006,인제군,10.7,4.5,2020,6
51810,강원특별자치도 인제군,202007,인제군,13.1,2.59,2020,7
51810,강원특별자치도 인제군,202008,인제군,14.1,2.72,2020,8
51810,강원특별자치도 인제군,202009,인제군,13.0,3.69,2020,9
51810,강원특별자치도 인제군,202010,인제군,10.5,3.05,2020,10
51810,강원특별자치도 인제군,202011,인제군,8.6,4.01,2020,11
51810,강원특별자치도 인제군,202012,인제군,9.4,3.47,2020,12
51810,강원특별자치도 인제군,202101,인제군,9.8,5.21,2021,1
51810,강원특별자치도 인제군,202102,인제군,11.6,2.78,2021,2
51810,강원특별자치도 인제군,202103,인제군,9.6,3.5,2021,3
51810,강원특별자치도 인제군,202104,인제군,11.0,6.64,2021,4
51810,강원특별자치도 인제군,202105,인제군,12.6,5.47,2021,5
51810,강원특별자치도 인제군,202106,인제군,12.2,3.6,2021,6
51810,강원특별자치도 인제군,202107,인제군,16.5,2.88,2021,7
51810,강원특별자치도 인제군,202108,인제군,15.5,3.45,2021,8
51810,강원특별자치도 인제군,202109,인제군,13.8,2.69,2021,9
51810,강원특별자치도 인제군,202110,인제군,12.3,2.56,2021,10
51810,강원특별자치도 인제군,202111,인제군,10.8,3.12,2021,11
51810,강원특별자치도 인제군,202112,인제군,12.0,3.73,2021,12
51810,강원특별자치도 인제군,202201,인제군,12.9,4.84,2022,1
51810,강원특별자치도 인제군,202202,인제군,11.5,2.79,2022,2
51810,강원특별자치도 인제군,202203,인제군,11.3,3.34,2022,3
51810,강원특별자치도 인제군,202204,인제군,12.1,2.94,2022,4
51810,강원특별자치도 인제군,202205,인제군,13.2,3.09,2022,5
51810,강원특별자치도 인제군,202206,인제군,13.7,3.07,2022,6
51810,강원특별자치도 인제군,202207,인제군,16.1,3.31,2022,7
51810,강원특별자치도 인제군,202208,인제군,15.2,2.68,2022,8
51810,강원특별자치도 인제군,202209,인제군,14.0,2.68,2022,9
51810,강원특별자치도 인제군,202210,인제군,11.1,2.51,2022,10
51810,강원특별자치도 인제군,202211,인제군,12.5,2.72,2022,11
51810,강원특별자치도 인제군,202212,인제군,13.4,3.21,2022,12
51810,강원특별자치도 인제군,202301,인제군,12.2,3.3,2023,1
51810,강원특별자치도 인제군,202302,인제군,11.1,3.3,2023,2
51810,강원특별자치도 인제군,202303,인제군,11.2,2.86,2023,3
