시군,체험문화_2024,체험문화_2026,방문_2026,①체험문화_변화율,②평균숙박일수,③저녁전환율,④야간방문비중,①체험문화_변화율_문제백분위,②평균숙박일수_문제백분위,③저녁전환율_문제백분위,④야간방문비중_문제백분위,진단점수,순위,유형,순위_P10,순위_P90,상위20_비율
기장군,340.72944964601317,282.5682440510734,28319941.0,-0.17069615102352897,3.045833333333333,0.45403382876216075,0.07284604231543813,85.41666666666666,86.80555555555556,85.41666666666666,94.44444444444444,88.02083333333334,1,체험문화 · 평균숙박일수 · 저녁전환율 · 야간방문비중,1,5,1.0
진안군,37.726123291834966,22.088984400208364,3319211.0,-0.41449100854237353,3.4691666666666663,0.41782422157087634,0.07421260975717126,97.91666666666666,63.19444444444444,94.44444444444444,91.66666666666666,86.80555555555554,2,체험문화 · 저녁전환율 · 야간방문비중,1,6,0.973
청도군,149.8457598810099,115.32018910543775,6962042.0,-0.23040739226113816,3.4225,0.44780312441515613,0.08248629863603503,90.27777777777779,64.58333333333333,86.80555555555556,75.69444444444444,79.34027777777779,3,체험문화 · 저녁전환율 · 야간방문비중,3,19,0.912
합천군,128.65408378778085,117.60428697061846,4530192.0,-0.08588764920505276,3.265833333333333,0.44271465996670784,0.07797158423703769,68.05555555555556,74.30555555555556,88.88888888888889,83.33333333333334,78.64583333333334,4,저녁전환율 · 야간방문비중,4,18,0.93
화순군,121.5511224970604,106.06598703813809,8762630.0,-0.12739607122342134,3.5483333333333333,0.44088923026279697,0.07535006470814376,77.77777777777779,50.69444444444444,90.27777777777779,88.88888888888889,76.90972222222223,5,체험문화 · 저녁전환율 · 야간방문비중,5,24,0.877
완주군,205.99764851692956,134.12995872455247,15381299.0,-0.3488762629563258,3.6625,0.47268543177339517,0.07350490927765248,95.83333333333334,29.166666666666664,79.16666666666666,93.75,74.47916666666666,6,체험문화 · 저녁전환율 · 야간방문비중,3,46,0.709
인제군,161.75180250132078,100.13313501219346,8035452.0,-0.3809457856806522,3.5741666666666667,0.47111241213806193,0.08060505080794439,96.52777777777779,42.361111111111114,79.86111111111111,78.47222222222221,74.30555555555556,7,체험문화 · 저녁전환율 · 야간방문비중,4,34,0.68
순창군,240.2916454976453,212.7856412710981,3142228.0,-0.11446924910594425,3.5775,0.4121491392443261,0.07742670742086798,72.91666666666667,41.666666666666664,95.83333333333334,84.02777777777779,73.61111111111111,8,저녁전환율 · 야간방문비중,7,38,0.744
담양군,146.18235644126918,164.56144500776037,10594213.0,0.12572713297226978,3.3641666666666663,0.3940378877457953,0.058294063004037694,24.305555555555557,68.05555555555556,98.61111111111111,99.30555555555556,72.56944444444444,9,저녁전환율 · 야간방문비중,2,57,0.618
금산군,61.620644438115576,54.47552984635955,6653391.0,-0.115953259770461,3.533333333333333,0.4576308443719079,0.08235863164437567,73.61111111111111,52.77777777777778,83.33333333333334,76.38888888888889,71.52777777777777,10,저녁전환율 · 야간방문비중,13,32,0.641
횡성군,875.3127755403569,739.0201585721871,7629459.0,-0.15570733202658016,3.4725,0.4881952139523526,0.08577100697642591,82.63888888888889,61.80555555555556,70.83333333333333,68.05555555555556,70.83333333333333,11,체험문화,11,35,0.597
단양군,265.0731016436154,239.43089735515449,6138506.0,-0.09673634981996881,2.7383333333333333,0.48144055325093577,0.09516311239716244,70.13888888888889,94.44444444444444,74.30555555555556,44.44444444444444,70.83333333333333,11,평균숙박일수,4,49,0.506
울주군,118.41635428637758,131.77205218612968,25400849.0,0.11278592370317986,2.984166666666667,0.46129416926482214,0.07690611234835946,25.694444444444443,88.19444444444444,82.63888888888889,86.11111111111111,70.65972222222223,13,평균숙박일수 · 저녁전환율 · 야간방문비중,4,61,0.495
임실군,85.35156970845337,98.56651074810519,5955887.0,0.1548295020793624,3.394166666666667,0.3950058772626291,0.06070416761888179,20.138888888888886,66.66666666666667,97.91666666666666,97.22222222222221,70.48611111111111,14,저녁전환율 · 야간방문비중,4,66,0.572
고령군,66.71714023471436,57.19303139362063,4172886.0,-0.14275355339853335,3.9425000000000003,0.43198754774175024,0.06041127177808622,81.25,6.944444444444442,92.36111111111111,97.91666666666666,69.61805555555554,15,체험문화 · 저녁전환율 · 야간방문비중,4,80,0.608
의령군,65.61684643673767,57.84321017186054,2984862.0,-0.11847012904486087,3.8191666666666664,0.4160602820981481,0.07430912106713634,75.0,15.277777777777779,95.13888888888889,90.97222222222221,69.09722222222221,16,체험문화 · 저녁전환율 · 야간방문비중,7,71,0.595
예산군,155.630399640466,112.18901075966156,10981851.0,-0.2791317697645307,3.5041666666666664,0.5067999206171793,0.08711722440078751,93.75,56.94444444444444,59.02777777777778,65.27777777777779,68.75,17,체험문화,9,45,0.448
구례군,61.66534301845059,179.78480829324718,4605289.0,1.9154919034416888,2.9691666666666667,0.3852974643107597,0.07737168675707103,0.694444444444442,88.88888888888889,99.30555555555556,84.72222222222221,68.40277777777777,18,평균숙박일수 · 저녁전환율 · 야간방문비중,2,89,0.485
보성군,157.16765086520908,168.2726911406399,4790504.0,0.07065728993401299,3.486666666666667,0.43025736322777125,0.07569280425208764,33.333333333333336,58.68055555555556,93.05555555555556,87.5,68.14236111111111,19,저녁전환율 · 야간방문비중,11,60,0.498
의성군,32.78230050808,23.823180430928392,4444033.0,-0.2732913779172823,3.859166666666667,0.46274291388953837,0.07922870621285538,93.05555555555556,13.194444444444443,81.94444444444444,79.86111111111111,67.01388888888889,20,체험문화 · 저녁전환율 · 야간방문비중,7,78,0.449
영덕군,36.72162110964586,28.97528946692219,7168522.0,-0.21094743120392634,2.9116666666666666,0.49339632429098945,0.10528675960571897,88.88888888888889,89.93055555555556,65.27777777777779,22.22222222222222,66.57986111111111,21,체험문화 · 평균숙박일수,5,73,0.471
여주시,149.08742212016426,157.76210404432226,16084376.0,0.05818520302246699,3.248333333333333,0.4919569860451265,0.0754417878225065,34.72222222222222,75.69444444444444,67.36111111111111,88.19444444444444,66.49305555555556,22,평균숙박일수 · 야간방문비중,10,60,0.319
서천군,239.42682250177327,221.008664437358,6991106.0,-0.07692604308892281,3.5725,0.473245488983242,0.08333235241332927,66.66666666666667,44.44444444444444,78.47222222222221,73.61111111111111,65.79861111111111,23,저녁전환율,22,48,0.052
