,방문25(만),방문%19-25,방문%24-26,방문당소비,소비%19-25,소비%24-26,식음(원),체험(원),쇼핑(원),교통(원),체류지수,체류당소비,숙박객%,숙박객p19-25,숙박객체류%19-25,야간%,주말%,성수3개월%,성수월,2030%,60+%,수도권%,수도권p19-25,대표축제,문제태그,태그수,종합순위
익산시,2711.4145,20.282356375276823,11.003190746476664,12428.454225644951,-12.006336127389128,-5.059632590188468,3386.4957202227843,690.9093758995535,3955.1358894038517,4042.734041586043,28.73213914240553,432.5627884525276,10.104455722725158,-3.3047099660054133,4.018228413743885,21.755969070756244,32.9801142540176,28.611538368626412,"10,5,3",34.10482609722711,24.257323990854218,14.08,3.8000000000000007,,소비하락 · 방문↑소비↓ · 머무는데안씀 · 숙박이탈 · 업무체류의심,5,1.0
옹진군,679.1758,32.50165681745509,15.736787457616884,8742.569007906348,-3.3582996353613614,-0.8838096944584928,4410.619459645058,271.36405625759926,2927.656874700188,636.496912875871,24.589022495534618,355.5476436484616,20.766559326960383,-1.030176279851453,-4.18988096032461,24.406935582804923,41.14335345870686,33.59823774639791,"10,5,8",33.70750253468984,26.761583672445337,95.53,-1.6500000000000057,,소비하락 · 방문↑소비↓ · 체험공백 · 머무는데안씀 · 계절쏠림 · 주말쏠림,6,2.0
서천군,1111.9519,21.476233872840787,-0.2045981700789956,9094.369639550056,-0.9632831083666747,-3.172082698570722,3071.114676812909,200.1024504747013,3522.219261462659,2170.459531567867,17.916915922426092,507.585662561875,10.898140626281082,-1.9922477508462448,11.062610712702693,19.090502026211745,39.76858171652928,31.977471327671637,"10,5,8",23.333913993941643,30.121914446119476,17.08,0.8699999999999974,한산모시문화제,소비하락 · 방문↑소비↓ · 거쳐가기 · 야간공백 · 고령화,5,3.0
연천군,910.8375,17.002177707789468,0.8269153613742697,9790.388076907242,1.039394518172165,2.2277403182692,3757.3171943403736,1368.0959556452167,2869.0868568762266,1533.9569352381736,21.18210578430106,462.2008867580723,10.449337766870116,-1.1887017824151656,-9.0775427755165,20.00946381764036,37.35411640385908,31.51817969725665,"10,5,8",32.610328406548916,27.489436919318756,97.36,-0.3499999999999943,연천구석기축제,야간공백 · 숙박이탈,2,4.0
세종특별자치시,3360.9583,22.409917329485808,8.36656113614147,13980.821690051913,-8.672371164203197,-2.040115147232191,5559.295960321792,863.0606336294027,3897.294471044166,3087.8731521304503,33.73113256676474,414.47827648180436,10.75442861019693,-0.199457679233399,-1.5344531849867726,23.73347506275219,32.576717777188726,27.61394272579937,"5,10,3",36.690589109659584,19.79022471061304,,,세종축제,소비하락 · 방문↑소비↓ · 머무는데안씀 · 업무체류의심,4,5.0
밀양시,1601.2294,31.871577626024106,2.6175704051773607,9582.85065213017,8.328182363596559,14.153971273880028,3204.7248820187788,1362.2214905621893,2630.5565586042826,2120.0839180194916,18.993043515131223,504.54529020037165,10.270133108244266,-2.33239324669654,5.267260441097377,18.265927418020176,42.07712523889457,30.133296328433637,"10,5,11",27.591543098072016,28.89095091559023,2.59,1.2599999999999998,밀양아리랑대축제,야간공백 · 주말쏠림,2,6.0
영주시,951.791,7.138270122694634,3.358566141053587,12326.0725306291,-0.6783099021500316,0.8396936166133129,4591.312798713163,123.19689931928333,4806.825763219026,2346.4586237945095,32.88315192419156,374.8446182727704,15.63301275145226,-3.0928029359104716,-4.7244093215710325,24.955436645229888,36.17743811403974,30.826641563116276,"10,5,1",27.062790045293553,28.654431487584983,15.8,-2.0599999999999987,영주풍기인삼축제,체험공백 · 머무는데안씀 · 업무체류의심,3,7.0
홍천군,2226.4903,42.94337517326301,12.630419280547557,19510.408376807212,-22.81430308302812,-9.701295978235668,4549.480453608982,2331.2404280404903,4300.856823854117,4889.098102066737,15.881302896703096,1228.5143419094102,14.81482453402507,-9.139708959247567,-1.7457343390533286,24.15577108061059,40.79905490717835,32.521929244425635,"8,7,10",32.423231307138416,22.64832683079733,76.12,-2.9200000000000017,,소비하락 · 방문↑소비↓ · 거쳐가기 · 숙박이탈 · 주말쏠림,5,8.0
인제군,988.1182,3.9840708724524942,38.32736760181725,11539.408949253237,-5.702792463155781,-21.68108680356348,2983.263135928475,124.64794191626062,3661.7874258363017,4420.1464966438225,17.536756471579974,658.0127270372931,10.76063751032826,-0.7464879207148805,-7.1538391889960256,19.0207001551029,40.22535967862954,37.55571954853174,"10,8,7",32.98284557454767,25.596259637763985,40.99,-3.4499999999999957,,소비하락 · 거쳐가기 · 야간공백 · 숙박이탈 · 계절쏠림,5,9.0
영월군,728.7029,18.336766877659393,15.057461911657688,13449.270066031026,12.626532560804794,-2.480052806087596,4676.363165289997,803.4294909489176,3672.908808239956,3718.3366499570675,22.57039280424701,595.881081143626,17.991555084921647,-2.194567744392266,-6.995149901017617,24.749620181283756,39.49705703106163,35.360899483177576,"8,10,7",23.573750015266853,28.114009152426867,42.55,-2.3200000000000003,,계절쏠림,1,10.0
진안군,501.5661,16.636172400658378,4.008441727326573,10183.489673644212,19.40888364040731,11.526714627714371,2898.4955322937494,310.2958912095534,3698.3763456102793,3159.123792457265,14.927558474463476,682.1939228082792,10.223974397389911,-1.523025776362271,-0.6433118555581707,17.60423999947365,41.36196604993838,31.80519975333261,"10,8,5",20.8383102446517,32.28094960963271,7.42,-1.4600000000000009,진안홍삼축제,거쳐가기 · 야간공백 · 주말쏠림 · 고령화,4,11.0
문경시,1224.8902,10.054530843547903,16.93837467258379,18239.282998590403,10.459903749095222,-2.1553333394989327,4554.814464186259,768.9378198960201,4431.655425114839,8019.400922629637,16.464314141159505,1107.8070329691786,11.808443982553491,-3.729785289854398,0.0658919983188566,22.363882085104443,39.67107419097646,32.83434711127577,"10,5,8",24.681681672365407,28.97733200902416,22.65,-3.1900000000000013,문경찻사발축제,거쳐가기 · 숙박이탈,2,12.0
평창군,1745.0406,24.185578610915925,0.7207980925776347,17949.612003296657,-6.210123542431612,-0.2377092252629276,6114.771255178819,1431.3645768470947,3533.562256373863,2408.4776594882665,22.77218898146333,788.2251468186798,21.549921580053724,-3.381397663171093,3.532860503788493,26.223412796240957,40.175764391957415,33.25852132036355,"8,1,7",29.227543473773622,24.480977691865732,44.75,-3.460000000000001,평창송어축제,소비하락 · 방문↑소비↓ · 숙박이탈 · 계절쏠림,4,13.0
거제시,2365.6192,4.142432374333538,1.89065498589156,10665.623951648684,-1.6673782405772997,-3.360376527044562,4980.752481210839,604.0538139020854,3184.1390617729176,1126.1158177951886,40.11944403987443,265.8467535354726,22.66967966167235,-3.1949901552550166,4.970095432600896,29.939565083002368,37.329537230675164,29.918674146709662,"10,8,5",31.978016580183315,22.623548202517128,5.41,-1.0199999999999996,,소비하락 · 머무는데안씀 · 숙박이탈,3,14.0
정선군,1018.7345,13.428514898359255,-0.4324057380168611,14885.25145658658,-1.2332482180243742,5.576192841271288,5240.509966041202,1860.3402554836416,3304.7828457758133,1059.8371803448297,27.016802743335777,550.9627322669896,26.88281037122039,-4.794854233540637,-10.63556802497072,30.573736336601932,37.94219200390288,32.081636579501335,"8,7,1",23.683874454040776,26.690025713274654,34.13,-3.6799999999999997,정선아리랑제,방문↑소비↓ · 숙박이탈,2,15.0
충주시,3136.3094,34.009991390622,-1.0487348897164517,17277.663581278048,-14.618297010548186,-3.884573047259221,4409.974698287101,3366.171908932199,3691.56560255184,5258.958985360309,25.898973529317924,667.1176972214571,11.670971524663049,-4.755871929630636,-7.523705189295027,23.852611607770584,36.843122046568496,29.766176768146664,"10,5,8",31.231325582865008,24.640104066263362,43.13,-3.1899999999999977,,소비하락 · 방문↑소비↓ · 숙박이탈,3,16.0
제주시,6011.1076,16.901513084178156,-0.8859109462354908,27584.150498320807,-19.055350248346027,-13.708005023849545,10214.370459780157,1227.0561751381726,10282.68815218014,4796.259943841298,40.65371205355416,678.5149277877383,21.512577899998867,-4.165389450449183,11.966312429453785,30.232997326482725,29.80870447236712,28.23061427148634,"10,8,7",39.11344225480176,18.930458007439427,2.13,0.04999999999999982,탐라문화제,소비하락 · 방문↑소비↓ · 숙박이탈 · 업무체류의심,4,17.0
보령시,1777.9609,12.786087599924612,-0.8670836699285367,13655.148884320237,1.5242865445096454,6.811829447417184,5990.146408731485,362.8949882981116,5018.627237528114,1520.3451886934072,25.29664390277646,539.8008106056117,22.189645711769828,-5.3142065624948955,8.47285248593077,28.077349732494117,42.243516153814184,31.79694221622084,"10,8,5",28.936986184566827,26.026832198615843,27.77,-5.59,보령머드축제,체험공백 · 숙박이탈 · 주말쏠림,3,18.0
영동군,680.0198,3.1048046501338966,2.507449993313005,10882.037699490516,14.582054919464603,8.143852759590198,3091.1463166219573,343.04515839097627,2539.340325090534,4030.740428440466,23.018282540731427,472.7562831950854,10.991467431501723,-3.882499240794941,6.721166804819201,19.27483582095698,38.11643425676723,31.05265464329127,"10,9,8",28.000890562304217,28.616828509993386,14.89,-0.6199999999999992,영동난계국악축제,쓸곳부족 · 야간공백 · 숙박이탈,3,19.0
강화군,1719.6704,14.9667765901766,5.092865777844668,13251.934673062931,10.522275326377796,-0.6215697587029445,6838.860167622819,686.3075040426352,4546.890497155734,815.7439355820743,19.610906984029633,675.743079290254,14.423761980308443,-1.817631642079661,5.528354824658366,22.595998628574407,43.26210999503161,31.133820760071234,"10,5,8",26.292061548538605,32.1047510034481,98.64,-0.15000000000000568,,주말쏠림 · 고령화,2,20.0
하동군,782.6679,14.77157730359464,-0.8875649487019022,11247.047055334708,3.5584941142261073,11.866534442639054,3273.5399011509226,375.0505163173295,2783.5023002732064,4470.505689577917,16.68466855076009,674.0947248138373,12.533643618763232,-1.2724509499881744,7.350435579586168,18.27839112860001,41.76237456525303,32.6997568189522,"10,3,4",21.75244442757905,33.12634899169878,5.29,-2.4000000000000004,하동야생차문화축제,거쳐가기 · 쓸곳부족 · 야간공백 · 주말쏠림 · 고령화,5,21.0
울진군,867.8669,15.12658371417379,8.215870345279397,12735.47395343687,12.398009854553305,18.3233621319574,4825.680642964952,225.12806975355323,4005.632315277838,2633.7295500035775,30.16168079570286,422.24019409592364,20.38544837189114,-3.7711010559699183,3.7285416586975377,28.69918186763431,38.43061649199895,31.560438587990852,"8,10,5",25.674167317592133,30.30857611921828,14.71,-0.11999999999999922,,체험공백 · 머무는데안씀 · 숙박이탈 · 고령화,4,22.0
삼척시,1224.7886,8.169285801403836,-0.8533860043097752,13240.201370260958,-12.435181347121135,-8.118020219003775,5787.42119252253,844.8481640015265,4293.02844588854,980.2105440889962,25.162324618536935,526.1915014206191,18.27128777201157,-0.6579597277071301,-24.711235647296135,25.722365475968665,37.75590334527934,32.35664505695105,"8,7,5",28.414536190163755,26.028859184352306,23.06,-11.470000000000002,,소비하락 · 숙박이탈,2,23.0
계룡시,546.7753,14.965490922509384,1.805577941387404,10200.33329962052,-3.0964692462313037,-4.990196942757008,4077.759913441591,1683.4374193567267,3043.7437462884664,1045.8705797427206,26.277211923338655,388.1817191785435,10.151020235849767,0.3450897283363794,11.691550374728754,19.350179132085888,31.853889522807634,27.67959708494513,"9,10,8",31.60406111980552,24.31256496041427,18.91,-0.8900000000000006,,소비하락 · 방문↑소비↓ · 머무는데안씀 · 야간공백 · 업무체류의심,5,24.0
청송군,500.6931,3.4912821810235695,1.7928924537393254,10510.778558761844,14.110468606610471,4.235965273209175,3602.595881588941,73.69604254582298,2944.5101200715567,3027.0944416849366,21.11238282589752,497.8489943763614,13.90551983052928,-3.2507298713781605,15.907799909470732,21.805553142234235,39.1389655659325,33.98590873331388,"11,10,8",20.78954153752069,33.92155793638858,10.28,-2.870000000000001,청송사과축제,쓸곳부족 · 숙박이탈 · 계절쏠림 · 고령화,4,25.0
아산시,4164.4267,32.27960636936642,10.406379648140751,16749.397077873888,-5.699046782577177,0.9338516503885064,5192.621135581519,669.0321863511249,5201.583353598227,5041.638168346198,29.282132957048084,572.0005814618221,10.056136174125015,-1.401389111636167,8.572527084907433,21.566790934271935,32.76451474100865,27.600709120417463,"11,5,10",36.05908347480339,20.485696146362717,41.73,-0.010000000000005116,,방문↑소비↓ · 업무체류의심,2,26.0
태안군,1808.9374,22.770559809011527,6.116533942331981,14366.03417011556,9.033936631572193,4.54630794628208,4478.548235002494,1879.3698444180545,5545.323127267975,1495.9592852687992,23.968948260973303,599.3602228057127,24.205209873870555,-6.082679470702551,8.151580861698449,28.204845562925506,42.048060922395656,35.1342561660785,"10,8,5",28.876759361600904,25.42174206802292,42.28,-4.549999999999997,,숙박이탈 · 계절쏠림 · 주말쏠림,3,27.0
무주군,838.0581,8.779987219886621,-1.624582959215759,10087.062698874935,22.12683368619497,10.983414444551908,2894.5815331896442,815.4182866319173,2349.433291080893,1942.2724987682834,14.590868667496888,691.3270846817514,16.215720460039556,-1.8059363422950625,1.6749079730351113,23.34317871278853,42.49356935992862,33.69116055318838,"1,8,10",26.726738874070904,25.495833761406274,10.99,-3.379999999999999,무주반딧불축제,거쳐가기 · 계절쏠림 · 주말쏠림,3,28.0
예천군,708.1895,10.32769462486469,2.301884757822626,8505.114520901538,7.463825164744153,7.586428394114519,3323.138227833087,625.9347250982964,2783.712692718545,1434.595542577234,27.167579096044214,313.0611855710007,12.422348869147886,-2.0775540484185964,8.309334267012968,24.92907618652917,35.15900758201018,29.104385196335162,"10,5,8",26.813190537278512,29.024943182580373,12.57,0.8399999999999999,,쓸곳부족 · 머무는데안씀 · 업무체류의심,3,29.0
통영시,1634.2886,0.3112906383864189,3.803019294484344,12589.056363729149,14.031999826901377,7.375117682962151,5285.209111781114,415.9221327249055,4099.703442831334,1928.8205277819352,26.232673514679057,479.89986063314024,20.13321904190287,-0.4885049998961968,3.7020135343663663,28.914868524445435,39.10541259358965,30.41280469067703,"10,8,5",27.195539392491632,26.646829697031478,8.67,-1.0899999999999999,통영한산대첩축제,머무는데안씀,1,30.0
거창군,697.1355,6.037679713763033,1.8902973420304112,10741.99305586934,33.21415774886856,1.3323193858743254,3757.4315179760606,683.4004293283014,3177.5197217757523,2757.7871159910806,24.215015225222736,443.6087673684513,13.843931987744698,-3.3817579813075245,-3.606886658317732,23.0330832384809,40.46209094214826,32.95636214193654,"10,8,5",23.670993659051938,31.506070197257205,7.64,1.1099999999999994,,머무는데안씀 · 숙박이탈 · 계절쏠림 · 고령화,4,31.0
동해시,1233.74,15.336941317116937,13.069211268161451,16240.66732050513,8.66399760589076,4.889663444108261,6522.510091267204,255.5540875711252,5604.391849174056,3025.3814417948674,24.696121083456116,657.6201689983097,16.80277744900777,0.3771132597187971,-32.040722610882156,25.92045325595344,37.090318867832764,30.699255921020637,"8,10,5",31.802592118274518,24.92055862661501,20.34,-2.2399999999999984,,체험공백 · 숙박이탈,2,32.0
원주시,3487.2732,14.46341150393533,3.5086994451518416,19616.82434287053,3.400508505457034,1.9117852500025956,6083.1110393071585,1224.4899826030264,5821.146562305471,4912.306153701981,32.791071917348994,598.2367515253968,13.9813962997771,-2.217721905608416,-13.741543253321009,24.66769165088643,36.07954203301308,29.110030725439003,"10,8,5",34.132332964334424,23.59821421504917,62.11,-7.769999999999996,,숙박이탈 · 업무체류의심,2,33.0
안동시,1805.4579,-4.8398058971391045,5.641631965734328,14543.013603363446,14.195964498211367,-2.81179267054964,4912.030682077937,513.6971069776814,4759.90799896248,3799.504823679356,29.64044114128402,490.64767740948156,13.623360230844655,-0.0846257947807984,-6.211332631389677,24.45406231848441,35.62865686317028,29.517054925512248,"10,5,8",30.046959278308293,25.506521088085186,14.01,-1.6799999999999997,안동탈춤축제,머무는데안씀 · 업무체류의심,2,34.0
경주시,5020.3247,17.451582020785672,7.861777675531245,17948.293563561736,5.953204595638173,8.26888676220985,6270.786827792234,1413.3681034615151,3700.344959759276,5544.441657329455,20.370691311747073,881.0841659169208,16.323126177072226,-2.275740316743608,2.0120947306975223,23.753700632152338,38.93222285004793,29.51449136347695,"10,8,11",35.10528113848891,21.604646408627715,8.56,-0.9000000000000004,,,0,35.0
철원군,682.3546,6.997412698163807,-7.303698291454818,10344.529808987878,9.738093673503576,7.860986080527255,4777.54806665039,1267.6666941206229,2872.6796888304116,1045.1617091758449,27.20903107533828,380.1873642742079,13.194259676716891,-1.7584465238473417,-13.819949753485083,22.895119341175395,38.19933213610636,33.226946810353446,"10,5,8",38.89266665748278,24.886767085617947,89.5,-0.46999999999999886,,머무는데안씀 · 숙박이탈 · 계절쏠림,3,36.0
강릉시,3436.9101,6.942541664108681,5.375066119365779,22462.856564098085,15.78797098477609,11.009901113828292,10618.459848571541,881.3866269007152,5912.682964852645,3246.686114949588,28.585137960306607,785.8229194237251,24.498421265370276,-1.2769853538201303,-25.74843481952832,28.89646720756531,37.51946261265315,31.029970786841357,"8,7,5",38.61828390565118,20.899478866206014,39.11,-3.6000000000000014,강릉커피축제,숙박이탈,1,37.0
