,방문2019(만),방문당2019,방문2023(만),방문당2023,방문2024(만),방문당2024,방문2025(만),방문당2025,방문2026(만),방문당2026,방문%23→24,방문당%23→24,방문%24→25,방문당%24→25,방문%25→26,방문당%25→26,방문당%19→26,방문당%23→26,흐름,문제태그,중앙대비_23→26(%p),중앙보다나쁜해,방문%23→26,초과23→24,초과24→25,초과25→26
익산시,1449.9381,14534.184321385856,1548.825,14652.203702806966,1589.6907,14349.01789385822,1759.9051,12308.930521310496,1764.6074,13623.010308128596,2.638496925088374,-2.069216447561828,10.707391066702463,-14.217609787921017,0.2671905433991872,10.675824228132802,-6.269178875876391,-7.024154288007911,급락 후 회복중(미회복),소비하락 · 방문↑소비↓ · 머무는데안씀 · 숙박이탈 · 업무체류의심,-13.201903443722262,2,13.932006521072427,-3.809925752619281,-10.386620381604535,3.207506971533336
옹진군,336.2844,9345.6606967198,405.2585,9518.733598431618,417.7962,8873.219287298449,439.0797,8689.707358367968,483.5439,8794.796915026744,3.0937537398968873,-6.781514625427998,5.094230153361856,-2.068155006528105,10.126680873654603,1.2093566828528024,-5.894326785118597,-7.605388636195842,급락 후 회복중(미회복),소비하락 · 방문↑소비↓ · 체험공백 · 머무는데안씀 · 계절쏠림 · 주말쏠림,-13.783137791910194,2,19.31739864802342,-8.52222393048545,1.7628343997883769,-6.258960573746664
서천군,591.9133,9334.442561098052,701.0329,10078.266654817484,700.5439,10131.354508975097,717.1352,9007.291512116544,699.1106,9809.979565465035,-0.0697542155296826,0.5267558001378791,2.3683455098245876,-11.09489353928712,-2.513417274734253,8.911536306654689,5.0944338802706435,-2.6620360280327104,급락 후 회복중(미회복),소비하락 · 방문↑소비↓ · 거쳐가기 · 야간공백 · 고령화,-8.839785183747063,2,-0.2742096697601615,-1.2139535049195738,-7.263904132970639,1.443219050055223
연천군,515.8617,9850.73499350698,593.4439,9947.360820458343,610.655,9731.907541901728,594.6753,9843.83545104362,615.7046,9948.709169949356,2.90020674237279,-2.1659340848831254,-2.616813094136627,1.150112746755716,3.5362659252872852,1.0653745628653066,0.9945874750153516,0.0135548465100221,개선·유지,야간공백 · 숙박이탈,-6.16419430920433,2,3.7511043588113413,-3.9066433899405784,4.981102153072198,-6.402942693734159
세종특별자치시,1801.6733,15222.433945155317,2062.5641,15312.197957871953,2089.0638,15164.843984180856,2198.7002,13919.51544826348,2263.8466,14855.463705005452,1.2847940095534582,-0.962330647086107,5.248111618228224,-8.21194426541042,2.9629505650656585,6.7240002730033055,-2.4107198722097656,-2.982813141020635,급락 후 회복중(미회복),소비하락 · 방문↑소비↓ · 머무는데안씀 · 업무체류의심,-9.160562296734987,3,9.75884822197768,-2.70303995214356,-4.380954859093938,-0.7443169835961605
밀양시,800.2804,8870.371434812098,1004.1666,8754.702456743731,1012.6528,9231.136476391512,1042.7388,9469.592864483417,1039.1597,10537.70888151263,0.8450988112928659,5.442035546059998,2.9710084246051593,2.583174766202956,-0.3432403205865131,11.27942914035176,18.796703824115024,20.366270967843715,개선·유지,야간공백 · 주말쏠림,14.188521812129363,0,3.4847902728491364,3.701326241002545,6.414164172519438,3.811111883752295
영주시,579.3452,12370.395577627984,565.8615,13090.853680626797,591.69,12632.25726309385,611.3988,12005.470570109068,611.5623,12738.32952096622,4.564456143420248,-3.5031819063994662,3.3309334279774783,-4.961794871103442,0.0267419563139581,6.104375056166544,2.9743102476338823,-2.6929042846325357,급락 후 회복완료,체험공백 · 머무는데안씀 · 업무체류의심,-8.870653440346889,3,8.076322563030015,-5.243891211456919,-1.13080546478696,-1.3639422004329216
홍천군,1070.715,25868.693256375413,1144.6397,28308.775853222633,1343.5801,22897.28427802704,1514.8883,19440.333389597108,1513.2799,20675.950959237613,17.38017648697665,-19.11595048564968,12.750129300069268,-15.09764584504605,-0.1061728445589049,6.3559484545759215,-20.073461947514627,-26.96275152821951,급락 후 회복중(미회복),소비하락 · 방문↑소비↓ · 거쳐가기 · 숙박이탈 · 주말쏠림,-33.140500683933865,3,32.20578492952848,-20.856659790707134,-11.266656438729568,-1.1123688020235445
인제군,636.738,12222.173327176955,603.8557,11981.098133212952,580.9011,12794.384792867497,602.6238,12490.09564507741,803.5452,10020.42311994397,-3.801338631066997,6.7880811142012165,3.739483364724227,-2.3783022999254944,33.34109937244429,-19.77304734337072,-18.014391944002483,-16.364735448028522,최근 2년 하락,소비하락 · 거쳐가기 · 야간공백 · 숙박이탈 · 계절쏠림,-22.542484603742874,1,33.06907593983133,5.047371809143764,1.4526871063909876,-27.241364599970186
영월군,430.0103,11645.900807492286,486.5441,13219.29687360303,484.2164,14152.157589044898,495.6596,13100.35395259166,557.1271,13801.176607635853,-0.4784150090402894,7.056810391365453,2.363240898077801,-7.4321080007435425,12.40115191958353,5.349646716267165,18.50673327697407,4.4017449611465365,급락 후 회복중(미회복),계절쏠림,-1.7760041945678156,2,14.507009744851507,5.3161010863080005,-3.6011185944270605,-2.1186705403323014
진안군,286.8655,8400.675926523058,317.925,8140.2868601085165,319.129,9001.551723597668,325.9723,9677.991964347892,331.9211,10039.134902842874,0.3787056695761626,10.580276571207593,2.1443679515180447,7.514707036309409,1.8249403400227624,3.731589567602178,19.503894575278014,23.32654948610797,개선·유지,거쳐가기 · 야간공백 · 주말쏠림 · 고령화,17.14880033039362,1,4.4023275929857775,8.83956726615014,11.345696442625892,-3.736727688997288
문경시,678.8407,18124.256545018587,736.0595,18783.471037327825,699.9119,19884.7684972923,772.6421,18081.04062670155,818.4656,19456.18545238798,-4.910961681766213,5.8631200685746565,10.391336395337758,-9.07090203658325,5.930753708605829,7.605451777237082,7.3488747196942095,3.581416947502891,급락 후 회복중(미회복),거쳐가기 · 숙박이탈,-2.596332208211461,1,11.195575901133004,4.122410763517204,-5.239912630266769,0.13713452063761622
평창군,940.0874,19422.80356060511,1188.0394,18340.12895531916,1173.2273,18874.365180557936,1197.5092,18222.208731256513,1181.6839,18829.49907331394,-1.2467684152562608,2.912936035184366,2.0696671480453954,-3.455249716017972,-1.3215180309261942,3.3326933689204363,-3.0546799561653293,2.6683024922398157,급락 후 회복중(미회복),소비하락 · 방문↑소비↓ · 숙박이탈 · 계절쏠림,-3.5094466634745363,1,-0.5349570056346509,1.172226730126913,0.3757396902985102,-4.13562388767903
거제시,1542.7667,10977.466975402049,1575.0527,11462.477795187424,1514.3059,11541.23892669242,1579.7261,10903.040153606376,1542.9362,11153.409842869718,-3.85681063243154,0.6871213442006807,4.320144298453843,-5.529724990009766,-2.3288784049336098,2.2963291498154126,1.6027638057296567,-2.6963450472067163,급락 후 회복중(미회복),소비하락 · 머무는데안씀 · 숙박이탈,-8.874094202921068,3,-2.039074629058435,-1.0535879608567722,-1.6987355836932836,-5.171988106784053
정선군,609.4893,15451.807603513302,668.1113,15042.835976580547,672.6784,14857.842618404278,692.2705,15012.676258774569,669.7697,15686.34457485909,0.6835837082833418,-1.2297771408548042,2.9125507820676244,1.0421004202756825,-3.2502901683662655,4.487329936864359,1.517861064309778,4.277840955524526,개선·유지,방문↑소비↓ · 숙박이탈,-1.8999082001898264,2,0.24822211508770398,-2.970486445912257,4.873089826592165,-2.9809873197351067
충주시,1549.5172,19498.29069338501,1682.5461,21473.191967815917,2030.1985,18516.857341782095,2037.7604,17119.115181549314,2008.9071,17797.55649228379,20.662280813583656,-13.767560176730065,0.372470967740357,-7.5484847910928465,-1.4159319221239142,3.9630629477023898,-8.722478435908275,-17.117322292098812,급락 후 회복중(미회복),소비하락 · 방문↑소비↓ · 숙박이탈,-23.295071447813164,3,19.39685337596395,-15.508269481787519,-3.7174953847763645,-3.5052543088970762
제주시,3411.2537,36187.844574562136,4159.3973,31489.0183248424,3955.7362,33433.476074567356,3908.905,27573.28210841655,3920.6919,28850.41349461813,-4.89640891001204,6.17503451414656,-1.183880765355383,-17.52792307051978,0.301539689503838,4.631771369037496,-20.275954995954017,-8.379444551126625,급락 후 회복중(미회복),소비하락 · 방문↑소비↓ · 숙박이탈 · 업무체류의심,-14.557193706840977,2,-5.738942033741279,4.434325209089107,-13.696933664203298,-2.83654588756197
보령시,1036.0152,13638.032048178444,1177.9593,14270.806385246078,1156.186,13964.818809430317,1161.1263,13572.507917528008,1146.1609,14916.078449369545,-1.8483915361082517,-2.1441505655357185,0.4272928404253306,-2.809280215203258,-1.2888692642652244,9.89920610108026,9.371193707979298,4.521623002261332,급락 후 회복완료,체험공백 · 숙박이탈 · 주말쏠림,-1.6561261534530196,1,-2.6994481048708496,-3.8848598705931714,1.021709191113224,2.430888844480794
영동군,437.6472,9333.428158571562,455.5912,10602.982234950983,437.4165,11027.5650324119,434.2671,10833.662508626605,448.3845,11925.63369161958,-3.9892561577133168,4.004371487687197,-0.7200002743380729,-1.758343960932296,3.250856442958727,10.079427729297151,27.773348538258254,12.474334365181685,급락 후 회복완료,쓸곳부족 · 야간공백 · 숙박이탈,6.296585209467333,0,-1.5818347676601285,2.2636621826297443,2.072645445384186,2.6111104726976855
강화군,1001.7635,12014.78482695766,1143.6685,13577.68566678194,1103.0705,13436.901267870006,1120.2822,12867.91408450478,1159.2484,13353.381553082152,-3.5498048604119092,-1.0368806758898952,1.5603445110715874,-4.234511901384397,3.478248605574552,3.7726974658772505,11.14124593493404,-1.6520054978776733,급락 후 회복중(미회복),주말쏠림 · 고령화,-7.829754653592025,3,1.3622741205165712,-2.777589980947348,-0.4035224950679148,-3.6956197907222155
