,방문25(만),방문%19-25,방문당소비25,방문당소비%19-25,방문당소비%24-26,방문%24-26,체류시간25,체류%19-25,숙박객비중25,숙박객비중p19-25,숙박소비%,체험소비%,외식소비%,대표축제,축제방문,축제외지인비율,축제수,숙박객체류%19-25,잠재개선액(억),문제,해결가능,종합,기본순위,상위10빈도%,최악순위
가평군,2605.5672,12.82352301341325,16960.124843450594,13.731894635136532,-1.255280483973198,-1.609216849892925,16.07617135403267,-23.350348285859212,19.514969066414036,-3.0620367638701538,6.486067840675688,1.998231982737562,40.86733002577802,,,,,-12.720509132885393,0.0,61.515151515151516,24.242424242424242,42.878787878787875,43.0,0.0,56.0
강릉시,3436.9101,6.942541664108681,22462.856564098085,15.78797098477609,11.009901113828292,5.375066119365779,28.585137960306607,-27.302387638292792,24.498421265370276,-1.2769853538201303,6.909933337589309,2.851795750369145,47.27119108058057,강릉커피축제,186504.0,39.55,1.0,-25.74843481952832,0.0,38.484848484848484,53.131313131313135,45.80808080808081,37.0,0.0,60.0
강화군,1719.6704,14.9667765901766,13251.934673062931,10.522275326377796,-0.6215697587029445,5.092865777844668,19.610906984029633,-8.605039582804919,14.423761980308443,-1.817631642079661,1.6839478561895571,3.1081212403560428,51.60650377732466,,,,,5.528354824658366,133.75850974633227,53.030303030303024,53.73737373737373,53.38383838383838,20.0,0.0,29.0
거제시,2365.6192,4.142432374333538,10665.623951648684,-1.6673782405772997,-3.360376527044562,1.89065498589156,40.11944403987443,-8.374791826280802,22.66967966167235,-3.1949901552550166,5.831096992990093,2.870453819213884,46.699119561972914,,,,,4.970095432600896,795.8239937352735,73.03030303030303,44.44444444444444,58.73737373737374,14.0,29.166666666666668,32.0
거창군,697.1355,6.037679713763033,10741.99305586934,33.21415774886856,1.3323193858743254,1.8902973420304112,24.215015225222736,-21.444541574481267,13.843931987744698,-3.3817579813075245,1.5586132925048306,0.409199301975969,34.978904738008836,,,,,-3.6068866583177317,229.20117175167184,59.6969696969697,40.4040404040404,50.05050505050505,31.0,0.0,50.0
경주시,5020.3247,17.451582020785672,17948.293563561736,5.953204595638173,8.26888676220985,7.861777675531245,20.370691311747073,-10.631175200907684,16.323126177072226,-2.275740316743608,4.8748960692370975,1.5833611074852996,34.938066984390424,,,,,2.0120947306975223,0.0,44.54545454545455,49.29292929292929,46.91919191919192,35.0,0.0,50.0
계룡시,546.7753,14.965490922509384,10200.33329962052,-3.0964692462313037,-4.990196942757008,1.805577941387404,26.277211923338655,12.16932233612924,10.151020235849767,0.3450897283363794,1.2498542527004557,1.0347067643224523,39.97673207005201,,,,,11.691550374728754,209.38301799908035,56.36363636363636,48.888888888888886,52.62626262626262,24.0,4.166666666666666,38.0
고창군,963.664,0.3751631925514864,12679.676630028724,16.04545168245388,-2.1782460538380732,7.476896803687216,18.819247497316084,-1.3827499783348407,11.562049079863666,-0.7984874207877297,1.597728393620534,2.265641054087807,31.087595520396643,,,,,6.512949243042754,130.101660137718,47.575757575757585,40.80808080808081,44.1919191919192,41.0,0.0,56.0
구미시,2791.3759,5.794318514825059,17825.27720469321,-3.647991141634632,-1.2189494149010272,2.0880439037369136,31.874164128036803,-14.6657731166858,10.72848227665135,-1.743250027087674,1.48055483965476,1.4463176807518563,30.846710057717814,,,,,-0.8667010752016591,0.0,57.57575757575758,25.85858585858586,41.71717171717172,46.0,0.0,55.0
군산시,2681.769,13.387939557754011,20056.293662877004,-11.812404441526724,9.8602064948615,6.330787920943437,30.832796292122296,-13.844724771801276,14.535057033993132,-1.4768839249408623,1.7827728793909197,0.9586914386187368,26.507499767608312,,,,,-5.086891064811483,0.0,48.78787878787879,41.61616161616162,45.20202020202021,39.0,0.0,57.0
