region,year,months,annual_visits,top3_visit_share,top3_spend_share,daily_rate_cv
울릉군,2025,12,1577980.0,39.455189546128594,44.9065116143992,0.4593693485604697
인제군,2025,12,9881182.0,37.55571954853175,35.94057602413548,0.34654249781597224
영월군,2025,12,7287029.0,35.360899483177576,33.8651886719382,0.2772601080673615
곡성군,2025,12,5494765.0,35.28149065519636,31.69450463740376,0.30604673919167724
태안군,2025,12,18089374.0,35.134256166078494,37.138202333901624,0.27382170444579335
합천군,2025,12,6944108.0,34.799516366968945,33.8353425954887,0.26182268178429735
구례군,2025,12,6485328.0,34.653991286177046,33.57713045997693,0.29022120005232666
양양군,2025,12,15541620.0,34.62790236796421,37.051679549640646,0.25820523984476157
순창군,2025,12,4986632.0,34.446295615958824,33.09514476625762,0.26313376417841644
단양군,2025,12,9427933.0,34.360214481795744,34.09457582105575,0.2617754637058429
임실군,2025,12,9183113.0,34.0367150006757,30.63286757417241,0.2579143041703344
청송군,2025,12,5006931.0,33.98590873331388,35.26491844650162,0.24051157330477563
무주군,2025,12,8380581.0,33.691160553188375,39.85256788022388,0.2152245396632134
옹진군,2025,12,6791758.0,33.59823774639791,34.33976653715109,0.2693826026212283
남해군,2025,12,9057444.0,33.33036340053552,36.08998657739533,0.21176779406185245
가평군,2025,12,26055672.0,33.31283875541571,33.00790833012659,0.24610267851776357
평창군,2025,12,17450406.0,33.25852132036355,36.20114193041678,0.22930535690972495
고창군,2025,12,9636640.0,33.25498306463664,32.923910740301956,0.22917689443072162
태백시,2025,12,5484126.0,33.242781073957815,32.29997582828189,0.21110327899893558
철원군,2025,12,6823546.0,33.22694681035344,32.44266049928191,0.23774348130810521
산청군,2025,12,7362748.0,33.1512772133448,28.347489786927355,0.22149688261684378
봉화군,2025,12,4719890.0,32.96619200871207,32.43302080057211,0.21902573589562704
거창군,2025,12,6971355.0,32.95636214193654,31.15579153005224,0.2371913445556629
영양군,2025,12,1821532.0,32.86777284176177,36.444561134133075,0.2191456985301
함양군,2025,12,8776870.0,32.84888576451514,30.64377806298937,0.2091254202245726
문경시,2025,12,12248902.0,32.83434711127577,31.333661487591556,0.21743729739913153
보은군,2025,12,8748922.0,32.754458206393885,32.849498596532065,0.220748518015889
정읍시,2025,12,11773052.0,32.74153549988567,31.179709589377314,0.2016004003403443
속초시,2025,12,26005012.0,32.723695724501106,33.276445502788036,0.2009012898289682
하동군,2025,12,7826679.0,32.6997568189522,29.654902465353057,0.22926183973454145
고흥군,2025,12,7092313.0,32.6680167668855,32.47444389006984,0.21893042269263435
양구군,2025,12,3034165.0,32.603170888860696,32.46466725127489,0.21029326561512954
영덕군,2025,12,10876644.0,32.5910639347946,30.533157774130053,0.19299693032248183
완도군,2025,12,6972919.0,32.567752472099556,33.78734458159886,0.1924500214993734
홍천군,2025,12,22264903.0,32.521929244425635,32.260741001297546,0.19771322299213473
남원시,2025,12,10841883.0,32.49202191169191,30.275132126580434,0.18912494335667845
화천군,2025,12,4317272.0,32.46677531552332,32.61878868631044,0.20906726667123765
장수군,2025,12,2759017.0,32.36384552904168,30.169166630706535,0.21760524308709184
삼척시,2025,12,12247886.0,32.35664505695105,35.476075318270844,0.20385932537264786
부안군,2025,12,10923148.0,32.34521769731583,30.949623691134654,0.18898957662527466
의령군,2025,12,4636698.0,32.205418597458795,30.105163091296184,0.2084732356691986
정선군,2025,12,10187345.0,32.081636579501335,34.80486093778529,0.20454168970777228
장성군,2025,12,10714168.0,32.04218937018722,30.185194857174157,0.18917313208669784
횡성군,2025,12,11435210.0,31.978065990917525,32.26805018043396,0.18607721332257313
서천군,2025,12,11119519.0,31.977471327671637,31.810354423083602,0.18198266705599855
괴산군,2025,12,11617368.0,31.949345152878,29.23699616649918,0.20935513694033542
진안군,2025,12,5015661.0,31.805199753332612,31.880667773859244,0.21925961261156554
보령시,2025,12,17779609.0,31.79694221622084,32.06147313120601,0.17119720058994367
함평군,2025,12,6079436.0,31.714899211045232,29.06847210957899,0.18263226674195082
