SGG_NM,KTO_TOB_MCLS_NM,CNSM_AMT,CNSM_AMT_26,change_억원,change_pct
경주시,뷰티,3757707.0,4812430.0,10.54723,28.068260777117526
수영구,뷰티,8207064.0,9642711.0,14.356470000000002,17.492820818748346
안동시,여행업,40412.0,180807.0,1.40395,347.4091853904781
부천시 소사구,캠핑장/펜션,91353.0,60042.0,-0.31311,-34.27473646185676
사천시,렌터카,42671.0,43499.0,0.008280000000000001,1.9404279252888346
장흥군,콘도,2246.0,0.0,-0.02246,-100.0
고양시 덕양구,대형쇼핑몰,235655563.0,245804628.0,101.49065,4.306736862392668
포항시,골프장,9291435.0,8828050.0,-4.633850000000001,-4.987227484236822
김해시,일반외식업,117175635.0,130548230.0,133.72595,11.412436553042781
노원구,기타레저,12299330.0,12878569.0,5.79239,4.709516697250993
거제시,기타관광쇼핑,38109336.0,39990703.0,18.813670000000002,4.936761427698455
임실군,제과음료업,1529127.0,1950867.0,4.2174000000000005,27.580442958629337
남동구,렌터카,139164.0,30342.0,-1.0882200000000002,-78.1969474864189
문경시,캠핑장/펜션,230949.0,220814.0,-0.10135000000000001,-4.388414758236669
청주시 서원구,관광유원시설,49300.0,70217.0,0.20917000000000002,42.427991886409735
용인시 기흥구,대형쇼핑몰,158059082.0,180659715.0,226.00633000000002,14.298851235894183
달성군,렌터카,87778.0,58883.0,-0.28895000000000004,-32.918271092984575
수원시 영통구,육상운송,42135526.0,60781444.0,186.45918,44.25224927772351
중랑구,여행업,53595.0,611455.0,5.578600000000001,1040.8806791678328
해운대구,육상운송,51809276.0,62756704.0,109.47428000000001,21.130247023718308
원주시,여행업,34403.0,224062.0,1.8965900000000002,551.2862250385141
성남시,레저용품쇼핑,30806302.0,30242869.0,-5.63433,-1.8289536991489608
평창군,렌터카,47046.0,71082.0,0.24036000000000002,51.09042214003316
충주시,기타관광쇼핑,60909092.0,58750611.0,-21.58481,-3.543774712648806
천안시,대형쇼핑몰,215273682.0,190716659.0,-245.57023,-11.407350295611153
원주시,기타숙박,4403868.0,3642342.0,-7.615260000000001,-17.292207668349736
구례군,일반외식업,12433626.0,14319818.0,18.86192,15.170087953425648
옥천군,캠핑장/펜션,36499.0,39200.0,0.027010000000000003,7.400202745280682
청도군,육상운송,35756148.0,50792507.0,150.36359000000002,42.052513598500596
중랑구,제과음료업,18436462.0,19965120.0,15.28658,8.29149323769387
수원시 팔달구,기타관광쇼핑,105770234.0,112440881.0,66.70647000000001,6.30673370733017
증평군,레저용품쇼핑,513777.0,400007.0,-1.1377000000000002,-22.143848401154585
용인시,캠핑장/펜션,261492.0,301058.0,0.39566,15.130864424150637
성남시 분당구,기타관광쇼핑,182723049.0,241963716.0,592.4066700000001,32.421014931728735
용인시 기흥구,레저용품쇼핑,14576635.0,9960397.0,-46.162380000000006,-31.66874933755287
창원시,기타관광쇼핑,215870092.0,217639488.0,17.69396,0.8196577782530357
군포시,렌터카,66839.0,46474.0,-0.20365000000000003,-30.46873831146486
구례군,기타숙박,928197.0,845223.0,-0.82974,-8.939266125617728
음성군,기타관광쇼핑,60538718.0,58184045.0,-23.54673,-3.8895323155009653
종로구,일반외식업,815514056.0,921789086.0,1062.7503000000002,13.031661345147928
미추홀구,뷰티,10957157.0,12374859.0,14.17702,12.938593469090565
영등포구,기타레저,17384010.0,16107071.0,-12.769390000000001,-7.3454801280026905
대덕구,기타레저,3571226.0,3426186.0,-1.4504000000000001,-4.061350359792404
강화군,기타숙박,1732261.0,1590688.0,-1.4157300000000002,-8.172729167255977
봉화군,호텔,90795.0,122617.0,0.31822,35.04818547276833
해남군,호텔,11348.0,17737.0,0.06389,56.30066972153684
장수군,대형쇼핑몰,2094111.0,0.0,-20.941110000000002,-100.0
보령시,기타레저,2393396.0,3294207.0,9.00811,37.63735712769638
관악구,일반외식업,252773915.0,254004759.0,12.308440000000001,0.48693473770820006
성주군,기타관광쇼핑,12428441.0,15095080.0,26.666390000000003,21.45594125602721
양양군,기타숙박,5632610.0,6174661.0,5.42051,9.623442773421198
음성군,기타레저,2395157.0,1917852.0,-4.7730500000000005,-19.927921217690535
