region,year,visits,spend,months,spend_per_visit,per_visit_yoy,visits_yoy,spend_yoy
가평군,2024,17835508.0,318761491000.0,8,17872.296712827017,,,
가평군,2025,17833634.0,296504094000.0,8,16626.117481159476,-6.972686564526176,-0.010507129934289594,-6.982461065223211
가평군,2026,17548496.0,309694967000.0,8,17647.94926015312,6.14594345403594,-1.5988777161177636,4.448799617586396
강릉시,2024,22871514.0,515146035000.0,8,22523.47767620456,,,
강릉시,2025,23765242.0,533666689000.0,8,22455.764978113835,-0.30063163008907656,3.907603143368643,3.5952240222522525
강릉시,2026,24100873.0,602601124000.0,8,25003.290295749866,11.34463831501147,1.4122768032406308,12.917132813586573
강진군,2024,3876940.0,33497745000.0,8,8640.253653654687,,,
강진군,2025,3967209.0,34512455000.0,8,8699.429498168613,0.684885500889143,2.3283569000293936,3.0291889797358085
강진군,2026,3983895.0,34817993000.0,8,8739.686412417997,0.4627534973167924,0.42059795690119195,0.8852977859732158
강화군,2024,11030705.0,148218494000.0,8,13436.901267870006,,,
강화군,2025,11202822.0,144156951000.0,8,12867.914084504779,-4.234511901384397,1.5603445110715874,-2.7402403643367212
강화군,2026,11592484.0,154798862000.0,8,13353.381553082152,3.7726974658772505,3.478248605574552,7.382169868451238
거제시,2024,15143059.0,174769662000.0,8,11541.23892669242,,,
거제시,2025,15797261.0,172238171000.0,8,10903.040153606375,-5.529724990009766,4.320144298453843,-1.4484727904320094
거제시,2026,15429362.0,172089998000.0,8,11153.409842869718,2.2963291498154126,-2.3288784049336098,-0.0860279687944443
거창군,2024,4237746.0,47079016000.0,8,11109.447333558925,,,
거창군,2025,4341324.0,46479213000.0,8,10706.229942754791,-3.6294999984932796,2.444176692043354,-1.27403469945081
거창군,2026,4317852.0,48608049000.0,8,11257.460654047429,5.148691128810201,-0.5406645530257603,4.580189427906189
경산시,2024,19480222.0,300075028000.0,8,15404.086668006144,,,
경산시,2025,20537397.0,293229440000.0,8,14277.8288796774,-7.311422044047255,5.426914539269623,-2.281292130713386
경산시,2026,20804626.0,327021843000.0,8,15718.708089248998,10.091724881382348,1.3011824234590241,11.52421905522174
경주시,2024,31262128.0,592976006000.0,8,18967.870837199567,,,
경주시,2025,32595351.0,575132826000.0,8,17644.62748077172,-6.976235592203195,4.264658503093588,-3.0090897134883443
경주시,2026,33719887.0,692481803000.0,8,20536.30259792982,16.388416929228523,3.4499889263349237,20.403804424823413
계룡시,2024,3381355.0,38628605000.0,8,11424.001620652076,,,
계룡시,2025,3512604.0,37206810000.0,8,10592.372496301889,-7.279665672024982,3.88155044353522,-3.6806791236701386
계룡시,2026,3442408.0,37363626000.0,8,10853.921441037784,2.469219665634026,-1.9984034636412185,0.4214712306698676
고령군,2024,4074740.0,40182477000.0,8,9861.35974319834,,,
고령군,2025,4155036.0,38076496000.0,8,9163.938892466876,-7.072258480505134,1.9705797179697448,-5.2410432537546185
고령군,2026,4172886.0,40333824000.0,8,9665.690363935175,5.4752817249879016,0.42959916592779646,5.928402655538467
고창군,2024,5812291.0,80201986000.0,8,13798.687299035784,,,
고창군,2025,6068590.0,77269926000.0,8,12732.764282971828,-7.724814636088173,4.409603717363764,-3.655844632076821
고창군,2026,6246870.0,84320988000.0,8,13498.117937463081,6.010899420440841,2.937749955096658,9.125234570562423
고흥군,2024,4379529.0,43201626000.0,8,9864.445697242785,,,
고흥군,2025,4576120.0,43878579000.0,8,9588.59885667334,-2.796374464776541,4.488861701794877,1.5669618546301889
고흥군,2026,4528967.0,49973111000.0,8,11034.107998578926,15.075290597849555,-1.0304144122094683,13.889538218637387
곡성군,2024,3664770.0,54503942000.0,8,14872.404543804932,,,
곡성군,2025,3705639.0,51231984000.0,8,13825.411487735313,-7.039837122408976,1.1151859461848934,-6.003158450447488
곡성군,2026,3659904.0,54430115000.0,8,14872.00620562725,7.570080057439044,-1.2342000934251862,6.2424500288725815
공주시,2024,16191008.0,281144358000.0,8,17364.228218527223,,,
공주시,2025,16761400.0,284885532000.0,8,16996.523679406255,-2.1175979403947,3.5228936950682854,1.3306950303445086
공주시,2026,17525443.0,320532433000.0,8,18289.54811584506,7.60758176688503,4.558348347990027,12.512710192667843
과천시,2024,13850191.0,118886673000.0,8,8583.75693158311,,,
과천시,2025,14204432.0,128724239000.0,8,9062.258807673548,5.5745040301623305,2.5576614791810393,8.274742451578243
과천시,2026,14754138.0,155429976000.0,8,10534.670070186412,16.24772911215122,3.8699611501537,20.74647106672738
광명시,2024,26394523.0,373390372000.0,8,14146.509561851146,,,
