region,ym,visits,spend,year,month
곡성군,202401,294302.0,4627776000.0,2024,1
목포시,202401,2094605.0,30323872000.0,2024,1
영암군,202401,714107.0,10701528000.0,2024,1
곡성군,202402,397627.0,5528153000.0,2024,2
목포시,202402,2236485.0,31242359000.0,2024,2
영암군,202402,794327.0,11037196000.0,2024,2
해남군,202402,775990.0,6852676000.0,2024,2
군산시,202402,2061802.0,37499519000.0,2024,2
김제시,202402,1003920.0,13564471000.0,2024,2
부안군,202402,777185.0,10056521000.0,2024,2
군포시,202403,2326920.0,29875774000.0,2024,3
김포시,202403,4419065.0,115717921000.0,2024,3
동두천시,202403,883959.0,10488850000.0,2024,3
시흥시,202403,4839890.0,110731414000.0,2024,3
양주시,202403,2970199.0,51314671000.0,2024,3
여주시,202403,2107375.0,99816621000.0,2024,3
연천군,202403,747341.0,7285811000.0,2024,3
오산시,202403,2813115.0,43693923000.0,2024,3
의정부시,202403,3847081.0,70950234000.0,2024,3
이천시,202403,3164004.0,79749637000.0,2024,3
거창군,202403,482852.0,5515991000.0,2024,3
김해시,202403,3845432.0,77701410000.0,2024,3
남해군,202403,697981.0,7450405000.0,2024,3
양산시,202403,3263863.0,47976226000.0,2024,3
합천군,202403,511656.0,3826205000.0,2024,3
고령군,202403,555287.0,5256990000.0,2024,3
문경시,202403,794721.0,16703008000.0,2024,3
의왕시,202404,2477898.0,48252386000.0,2024,4
하남시,202404,4439912.0,109459451000.0,2024,4
밀양시,202404,1238816.0,11620868000.0,2024,4
사천시,202404,1242663.0,22359854000.0,2024,4
산청군,202404,657584.0,10065093000.0,2024,4
의령군,202404,410861.0,2550742000.0,2024,4
진주시,202404,1669231.0,26818671000.0,2024,4
하동군,202404,775848.0,8609498000.0,2024,4
함안군,202404,912654.0,19625466000.0,2024,4
김천시,202404,1231405.0,22087323000.0,2024,4
봉화군,202404,358504.0,2905604000.0,2024,4
성주군,202404,622878.0,17414942000.0,2024,4
영양군,202404,136299.0,635289000.0,2024,4
의왕시,202405,2638246.0,50996499000.0,2024,5
하남시,202405,4718426.0,120129619000.0,2024,5
밀양시,202405,1454428.0,13578359000.0,2024,5
사천시,202405,1300254.0,24028515000.0,2024,5
산청군,202405,714246.0,10780199000.0,2024,5
의령군,202405,428475.0,2757014000.0,2024,5
진주시,202405,1873538.0,29970232000.0,2024,5
하동군,202405,669917.0,8086511000.0,2024,5
함안군,202405,1050681.0,21646504000.0,2024,5
김천시,202405,1284911.0,23709523000.0,2024,5
봉화군,202405,417278.0,3417586000.0,2024,5
성주군,202405,700543.0,18706080000.0,2024,5
영양군,202405,163852.0,851860000.0,2024,5
양산시,202406,2779550.0,44450479000.0,2024,6
합천군,202406,534924.0,4245516000.0,2024,6
고령군,202406,540737.0,5613370000.0,2024,6
문경시,202406,900196.0,17736988000.0,2024,6
울진군,202406,651758.0,7352871000.0,2024,6
청송군,202406,376385.0,4453354000.0,2024,6
칠곡군,202406,1864883.0,43113414000.0,2024,6
경산시,202407,2258639.0,36717835000.0,2024,7
경주시,202407,3928856.0,72461092000.0,2024,7
상주시,202407,1073034.0,12719946000.0,2024,7
영천시,202407,1037244.0,18664054000.0,2024,7
예천군,202407,523213.0,4840354000.0,2024,7
달성군,202407,2521447.0,31374476000.0,2024,7
태안군,202408,1907884.0,31749393000.0,2024,8
괴산군,202408,1352929.0,15945432000.0,2024,8
보은군,202408,755837.0,7951775000.0,2024,8
음성군,202408,1533008.0,43324701000.0,2024,8
충주시,202408,2885117.0,52730114000.0,2024,8
세종특별자치시,202401,2456994.0,35770127000.0,2024,1
동해시,202401,819145.0,14138624000.0,2024,1
삼척시,202401,762179.0,11085638000.0,2024,1
속초시,202401,1757717.0,40942367000.0,2024,1
태백시,202401,510978.0,7499933000.0,2024,1
가평군,202401,1436376.0,24054454000.0,2024,1
광명시,202401,3160351.0,45588743000.0,2024,1
남양주시,202401,5104917.0,93960505000.0,2024,1
의왕시,202401,2156195.0,41568437000.0,2024,1
하남시,202401,4341520.0,108685437000.0,2024,1
정읍시,202402,945993.0,11198076000.0,2024,2
제주시,202402,4491852.0,134739716000.0,2024,2
계룡시,202402,410526.0,4091465000.0,2024,2
보령시,202402,1253672.0,16902065000.0,2024,2
태안군,202402,1019188.0,13069716000.0,2024,2
괴산군,202402,827492.0,10682776000.0,2024,2
보은군,202402,567850.0,5685353000.0,2024,2
음성군,202402,1356025.0,33387849000.0,2024,2
충주시,202402,2450160.0,36617522000.0,2024,2
강릉시,202403,2663660.0,56577878000.0,2024,3
양양군,202403,988179.0,12161075000.0,2024,3
정선군,202403,624790.0,8479033000.0,2024,3
춘천시,202403,2799355.0,48686498000.0,2024,3
홍천군,202403,1134093.0,26511500000.0,2024,3
부여군,202403,783838.0,14065520000.0,2024,3
서산시,202403,1619996.0,27301865000.0,2024,3
서천군,202403,888149.0,8949461000.0,2024,3
홍성군,202403,1158592.0,17779490000.0,2024,3
세종특별자치시,202404,2584075.0,40312738000.0,2024,4
동해시,202404,905438.0,15000448000.0,2024,4
삼척시,202404,1005241.0,13916364000.0,2024,4
속초시,202404,1699963.0,38299858000.0,2024,4
태백시,202404,360228.0,6459400000.0,2024,4
가평군,202404,2133392.0,38571655000.0,2024,4
광명시,202404,3163429.0,45207966000.0,2024,4
남양주시,202404,5693243.0,109630277000.0,2024,4
음성군,202404,1476525.0,42331169000.0,2024,4
충주시,202404,2485297.0,51038987000.0,2024,4
세종특별자치시,202405,2717171.0,43769214000.0,2024,5
동해시,202405,1030071.0,16977150000.0,2024,5
삼척시,202405,1085867.0,16342222000.0,2024,5
속초시,202405,2047429.0,46266903000.0,2024,5
태백시,202405,430406.0,7697654000.0,2024,5
가평군,202405,2381040.0,44905867000.0,2024,5
광명시,202405,3397772.0,49203128000.0,2024,5
남양주시,202405,6272197.0,116882574000.0,2024,5
양양군,202406,1463672.0,20909573000.0,2024,6
정선군,202406,843063.0,11663227000.0,2024,6
춘천시,202406,2544943.0,54530134000.0,2024,6
홍천군,202406,2002474.0,42148390000.0,2024,6
군포시,202406,2064922.0,29000003000.0,2024,6
김포시,202406,4103284.0,110350971000.0,2024,6
동두천시,202406,860127.0,10578223000.0,2024,6
시흥시,202406,4514349.0,104809837000.0,2024,6
양주시,202406,2845399.0,54875120000.0,2024,6
여주시,202406,2082342.0,93893215000.0,2024,6
연천군,202406,806217.0,8624865000.0,2024,6
오산시,202406,2435381.0,43044117000.0,2024,6
의정부시,202406,3282452.0,66945044000.0,2024,6
이천시,202406,2896080.0,76496385000.0,2024,6
거창군,202406,492553.0,5798284000.0,2024,6
김해시,202406,3596284.0,71448419000.0,2024,6
남해군,202406,657835.0,7893979000.0,2024,6
광주시,202407,3712140.0,67854791000.0,2024,7
구리시,202407,3777219.0,48564774000.0,2024,7
양평군,202407,2486345.0,33392672000.0,2024,7
평택시,202407,3920414.0,94265508000.0,2024,7
창녕군,202407,718553.0,12982119000.0,2024,7
통영시,202407,1260461.0,16574906000.0,2024,7
의왕시,202408,2520443.0,48214575000.0,2024,8
하남시,202408,4731969.0,114715254000.0,2024,8
밀양시,202408,1440826.0,12769929000.0,2024,8
사천시,202408,1419453.0,26474253000.0,2024,8
산청군,202408,944120.0,12509599000.0,2024,8
의령군,202408,355403.0,2335991000.0,2024,8
진주시,202408,1881357.0,28441308000.0,2024,8
하동군,202408,755528.0,9588425000.0,2024,8
함안군,202408,881281.0,20908216000.0,2024,8
김천시,202408,1286133.0,22288822000.0,2024,8
봉화군,202408,498626.0,4073138000.0,2024,8
성주군,202408,707089.0,16593817000.0,2024,8
영양군,202408,198910.0,1527647000.0,2024,8
해남군,202401,635226.0,5897713000.0,2024,1
군산시,202401,1791590.0,36386839000.0,2024,1
김제시,202401,834831.0,12050617000.0,2024,1
부안군,202401,645911.0,8964038000.0,2024,1
정읍시,202401,738413.0,9547492000.0,2024,1
제주시,202401,4875924.0,147553739000.0,2024,1
계룡시,202401,433113.0,4375432000.0,2024,1
보령시,202401,1137607.0,15600239000.0,2024,1
태안군,202401,865358.0,10230264000.0,2024,1
괴산군,202401,612767.0,9538235000.0,2024,1
보은군,202401,349498.0,4696945000.0,2024,1
음성군,202401,1251484.0,31473360000.0,2024,1
충주시,202401,2035449.0,32944406000.0,2024,1
세종특별자치시,202402,2554602.0,34149414000.0,2024,2
동해시,202402,862779.0,14900391000.0,2024,2
삼척시,202402,810350.0,11564069000.0,2024,2
속초시,202402,1749135.0,40918317000.0,2024,2
하동군,202402,554945.0,6154386000.0,2024,2
함안군,202402,855538.0,16872105000.0,2024,2
김천시,202402,1207934.0,19439949000.0,2024,2
봉화군,202402,355506.0,2662399000.0,2024,2
성주군,202402,600674.0,14733452000.0,2024,2
영양군,202402,136301.0,653932000.0,2024,2
울진군,202403,603072.0,7406551000.0,2024,3
청송군,202403,327580.0,3835457000.0,2024,3
칠곡군,202403,1864399.0,44413035000.0,2024,3
곡성군,202404,453107.0,6755177000.0,2024,4
목포시,202404,2159945.0,32735906000.0,2024,4
영암군,202404,916774.0,13322005000.0,2024,4
해남군,202404,738858.0,6450231000.0,2024,4
군산시,202404,2076818.0,40320541000.0,2024,4
김제시,202404,1049624.0,15609388000.0,2024,4
부안군,202404,867680.0,11762913000.0,2024,4
정읍시,202404,883875.0,12017245000.0,2024,4
제주시,202404,4892671.0,167288305000.0,2024,4
계룡시,202404,454847.0,4858728000.0,2024,4
보령시,202404,1483320.0,19437779000.0,2024,4
태안군,202404,1707327.0,25569903000.0,2024,4
괴산군,202404,900713.0,12432041000.0,2024,4
보은군,202404,694197.0,7197970000.0,2024,4
곡성군,202405,801440.0,9440589000.0,2024,5
화순군,202406,985973.0,12517302000.0,2024,6
남원시,202406,811142.0,13087984000.0,2024,6
익산시,202406,1876809.0,29022181000.0,2024,6
장수군,202406,220696.0,3116051000.0,2024,6
당진시,202406,2034369.0,45117504000.0,2024,6
부여군,202406,798209.0,14376504000.0,2024,6
서산시,202406,1506485.0,27346980000.0,2024,6
서천군,202406,907018.0,9308572000.0,2024,6
홍성군,202406,930010.0,15194442000.0,2024,6
영월군,202407,686669.0,9457610000.0,2024,7
원주시,202407,2753904.0,54770612000.0,2024,7
옹진군,202407,503769.0,4602759000.0,2024,7
구례군,202407,451313.0,3451432000.0,2024,7
나주시,202407,1290386.0,20522679000.0,2024,7
보성군,202407,532528.0,6966502000.0,2024,7
순천시,202407,2004780.0,30514466000.0,2024,7
신안군,202407,584811.0,3733323000.0,2024,7
함평군,202407,427481.0,10379286000.0,2024,7
고창군,202407,651029.0,9161583000.0,2024,7
무주군,202407,647917.0,5585110000.0,2024,7
순창군,202407,349992.0,2847892000.0,2024,7
완주군,202407,1967444.0,24229044000.0,2024,7
임실군,202407,634838.0,8548107000.0,2024,7
곡성군,202408,459109.0,7453838000.0,2024,8
목포시,202408,2362318.0,37823633000.0,2024,8
영암군,202408,882700.0,13274846000.0,2024,8
해남군,202408,850791.0,8349286000.0,2024,8
군산시,202408,2291111.0,46590912000.0,2024,8
