정의,기준연도,모수,모수N,안동_기준,안동_2026,안동_변화율,감소순위,감소순위_백분위,중앙값_변화율,경주_2026
D1_문화+유원+기타레저,2024,전국시군(146),146,183.5,152.7,-16.8,22,15.1,-2.0,302.3
D1_문화+유원+기타레저,2024,방문500만+,113,183.5,152.7,-16.8,19,16.8,-3.0,302.3
D1_문화+유원+기타레저,2024,유사15+안동,16,183.5,152.7,-16.8,4,25.0,-5.5,302.3
D1_문화+유원+기타레저,2025,전국시군(146),146,173.5,152.7,-12.0,14,9.6,3.9,302.3
D1_문화+유원+기타레저,2025,방문500만+,113,173.5,152.7,-12.0,9,8.0,3.9,302.3
D1_문화+유원+기타레저,2025,유사15+안동,16,173.5,152.7,-12.0,1,6.2,2.7,302.3
D2_D1+여행업,2024,전국시군(146),146,187.1,168.1,-10.2,41,28.1,-1.5,315.8
D2_D1+여행업,2024,방문500만+,113,187.1,168.1,-10.2,35,31.0,-3.6,315.8
D2_D1+여행업,2024,유사15+안동,16,187.1,168.1,-10.2,7,43.8,-5.3,315.8
D2_D1+여행업,2025,전국시군(146),146,183.0,168.1,-8.1,18,12.3,4.3,315.8
D2_D1+여행업,2025,방문500만+,113,183.0,168.1,-8.1,12,10.6,3.9,315.8
D2_D1+여행업,2025,유사15+안동,16,183.0,168.1,-8.1,1,6.2,0.8,315.8
D3_D1+레저용품쇼핑,2024,전국시군(146),146,383.3,313.4,-18.2,15,10.3,-3.2,551.3
D3_D1+레저용품쇼핑,2024,방문500만+,113,383.3,313.4,-18.2,14,12.4,-3.4,551.3
D3_D1+레저용품쇼핑,2024,유사15+안동,16,383.3,313.4,-18.2,2,12.5,-12.9,551.3
D3_D1+레저용품쇼핑,2025,전국시군(146),146,350.3,313.4,-10.5,14,9.6,3.8,551.3
D3_D1+레저용품쇼핑,2025,방문500만+,113,350.3,313.4,-10.5,8,7.1,4.0,551.3
D3_D1+레저용품쇼핑,2025,유사15+안동,16,350.3,313.4,-10.5,1,6.2,-0.2,551.3
D4_레저체험전체(골프포함),2024,전국시군(146),146,750.2,548.4,-26.9,8,5.5,-5.8,1317.0
D4_레저체험전체(골프포함),2024,방문500만+,113,750.2,548.4,-26.9,7,6.2,-6.9,1317.0
D4_레저체험전체(골프포함),2024,유사15+안동,16,750.2,548.4,-26.9,1,6.2,-7.4,1317.0
D4_레저체험전체(골프포함),2025,전국시군(146),146,517.1,548.4,6.1,93,63.7,3.9,1317.0
D4_레저체험전체(골프포함),2025,방문500만+,113,517.1,548.4,6.1,76,67.3,3.7,1317.0
D4_레저체험전체(골프포함),2025,유사15+안동,16,517.1,548.4,6.1,12,75.0,3.8,1317.0
