도시,명소,유형,운영 기간,출처,출처 URL,조사일
안동시,월영교와 문보트,야간경관,연중,"문화체육관광부·한국관광공사 「대한민국 야간관광 명소 100선」(2023), Landscape Times 2023.11.8 보도",https://www.latimes.kr/news/articleView.html?idxno=51248,2026-09-14
안동시,선유줄불놀이,축제/이벤트,계절형(여름·가을),"문화체육관광부·한국관광공사 「대한민국 야간관광 명소 100선」(2023), Landscape Times 2023.11.8 보도",https://www.latimes.kr/news/articleView.html?idxno=51248,2026-09-14
부여군,궁남지,야간경관,연중,"문화체육관광부·한국관광공사 「대한민국 야간관광 명소 100선」(2023), Landscape Times 2023.11.8 보도",https://www.latimes.kr/news/articleView.html?idxno=51248,2026-09-14
부여군,부여문화유산 미디어아트,미디어아트,계절형(가을),"문화체육관광부·한국관광공사 「대한민국 야간관광 명소 100선」(2023), Landscape Times 2023.11.8 보도",https://www.latimes.kr/news/articleView.html?idxno=51248,2026-09-14
문경시,전설의 귀신 in 문경,투어프로그램,계절형(가을),"문화체육관광부·한국관광공사 「대한민국 야간관광 명소 100선」(2023), Landscape Times 2023.11.8 보도",https://www.latimes.kr/news/articleView.html?idxno=51248,2026-09-14
문경시,문경새재 달빛사랑여행,투어프로그램,계절형(여름),"문화체육관광부·한국관광공사 「대한민국 야간관광 명소 100선」(2023), Landscape Times 2023.11.8 보도",https://www.latimes.kr/news/articleView.html?idxno=51248,2026-09-14
문경시,은성탄광 달빛여행,투어프로그램,계절형(여름·가을),"문화체육관광부·한국관광공사 「대한민국 야간관광 명소 100선」(2023), Landscape Times 2023.11.8 보도",https://www.latimes.kr/news/articleView.html?idxno=51248,2026-09-14
남원시,광한루원,야간경관,연중,"문화체육관광부·한국관광공사 「대한민국 야간관광 명소 100선」(2023), Landscape Times 2023.11.8 보도",https://www.latimes.kr/news/articleView.html?idxno=51248,2026-09-14
공주시,(해당 없음),,,"문화체육관광부·한국관광공사 「대한민국 야간관광 명소 100선」(2023), Landscape Times 2023.11.8 보도",https://www.latimes.kr/news/articleView.html?idxno=51248,2026-09-14
충주시,(해당 없음),,,"문화체육관광부·한국관광공사 「대한민국 야간관광 명소 100선」(2023), Landscape Times 2023.11.8 보도",https://www.latimes.kr/news/articleView.html?idxno=51248,2026-09-14
