구역,공식상호,공식연락처,골목위치,골목안내_영업시간,출처URL,상권데이터_매칭상호,상권_도로명주소
찜닭골목,서문찜닭,054-857-0092,안동시 번영1길 58-15,08:30~22:00,https://www.tourandong.com/public/sub3/sub1_3.cshtml,상권정보에서 미확인,
찜닭골목,종손찜닭,054-855-9457,안동시 번영1길 58-15,08:30~22:00,https://www.tourandong.com/public/sub3/sub1_3.cshtml,상권정보에서 미확인,
찜닭골목,총각찜닭,054-858-9292,안동시 번영1길 58-15,08:30~22:00,https://www.tourandong.com/public/sub3/sub1_3.cshtml,총각찜닭,경상북도 안동시 번영길 6
찜닭골목,시골찜닭,054-856-9977,안동시 번영1길 58-15,08:30~22:00,https://www.tourandong.com/public/sub3/sub1_3.cshtml,시골찜닭,경상북도 안동시 번영길 6
찜닭골목,신선찜닭,054-842-9989,안동시 번영1길 58-15,08:30~22:00,https://www.tourandong.com/public/sub3/sub1_3.cshtml,상권정보에서 미확인,
찜닭골목,본가찜닭,054-842-8292,안동시 번영1길 58-15,08:30~22:00,https://www.tourandong.com/public/sub3/sub1_3.cshtml,상권정보에서 미확인,
찜닭골목,영광찜닭,054-854-6667,안동시 번영1길 58-15,08:30~22:00,https://www.tourandong.com/public/sub3/sub1_3.cshtml,상권정보에서 미확인,
찜닭골목,현진찜닭,054-854-6000,안동시 번영1길 58-15,08:30~22:00,https://www.tourandong.com/public/sub3/sub1_3.cshtml,상권정보에서 미확인,
찜닭골목,신세계찜닭,054-859-5484,안동시 번영1길 58-15,08:30~22:00,https://www.tourandong.com/public/sub3/sub1_3.cshtml,신세계찜닭,경상북도 안동시 번영길 10
찜닭골목,우정찜닭,054-854-0507,안동시 번영1길 58-15,08:30~22:00,https://www.tourandong.com/public/sub3/sub1_3.cshtml,우정찜닭,경상북도 안동시 번영길 12
찜닭골목,서울찜닭,054-855-1129,안동시 번영1길 58-15,08:30~22:00,https://www.tourandong.com/public/sub3/sub1_3.cshtml,상권정보에서 미확인,
찜닭골목,현대찜닭,054-854-0137,안동시 번영1길 58-15,08:30~22:00,https://www.tourandong.com/public/sub3/sub1_3.cshtml,현대찜닭,경상북도 안동시 번영1길 47
찜닭골목,유진찜닭,054-854-6019,안동시 번영1길 58-15,08:30~22:00,https://www.tourandong.com/public/sub3/sub1_3.cshtml,안동유진찜닭 | 안동유진찜닭 2호점,경상북도 안동시 번영1길 47 | 경상북도 안동시 번영1길 47
찜닭골목,매일찜닭,054-854-4128,안동시 번영1길 58-15,08:30~22:00,https://www.tourandong.com/public/sub3/sub1_3.cshtml,상권정보에서 미확인,
