표본번호,구역,상호,층화업종,상권업종중분류,상권업종소분류,도로명주소,법정동,층정보,전화번호,전화출처,인허가_사업장명,공식관광사이트_수록,공식수록_상호,골목안내_영업시간,점포별_영업시작,점포별_영업종료,21시이후영업,휴무일,조사일,조사요일,조사시간대,조사방법,조사자,상태,비고,경도,위도,상가업소번호
01,찜닭골목,보영분식,간이,기타 간이,김밥/만두/분식,경상북도 안동시 번영1길 1,천리동,,,,보영분식,N,,08:30~22:00,,,,,,,,,,,,128.727175733164,36.5634950282743,MA010120220809248625
02,찜닭골목,유진이네막창,주점,주점,요리 주점,경상북도 안동시 번영1길 29,남문동,,054-841-0571,지방행정인허가 일반음식점(영업중),유진이네막창,N,,08:30~22:00,,,,,,,,,,,,128.727468990835,36.5646260744878,MA010120220803343232
03,찜닭골목,유명찜닭,한식,한식,닭/오리고기 구이/찜,경상북도 안동시 번영1길 31-3,남문동,,054-843-2999,지방행정인허가 일반음식점(영업중),유명찜닭,N,,08:30~22:00,,,,,,,,,,,,128.727381267511,36.564699428147,MA010120220809258857
04,찜닭골목,티타임 안동점,카페,비알코올,카페,경상북도 안동시 번영1길 35,남문동,,,,,N,,08:30~22:00,,,,,,,,,,,,128.727619365624,36.5648581623744,MA010120220813608872
05,찜닭골목,구공이,카페,비알코올,카페,경상북도 안동시 번영1길 36,남문동,,,,,N,,08:30~22:00,,,,,,,,,,,,128.727852648773,36.5648007190775,MA010120220806497255
06,찜닭골목,안동대장금찜닭,한식,한식,닭/오리고기 구이/찜,경상북도 안동시 번영1길 43,남문동,,054-852-9982,안동시 공식관광 맛집투어 수록 연락처,안동대장금찜닭,Y,대장금찜닭,08:30~22:00,,,,,,,,,,,,128.727796287342,36.5652790811992,MA010120220809252229
07,찜닭골목,안동사대부찜닭,한식,한식,닭/오리고기 구이/찜,경상북도 안동시 번영1길 45,남문동,,054-858-8856,안동시 공식관광 맛집투어 수록 연락처,,Y,사대부찜닭,08:30~22:00,,,,,,,,,,,,128.727819622883,36.5653237943412,MA010120220812760552
08,찜닭골목,안동위생찜닭,한식,한식,닭/오리고기 구이/찜,경상북도 안동시 번영1길 47,남문동,,054-852-7411,안동시 공식관광 맛집투어 수록 연락처,안동위생찜닭,Y,위생찜닭,08:30~22:00,09:00,21:00,N,매주 수요일,2026-09-22,화,온라인,온라인 공식 자료(한국관광공사 TourAPI 음식점 상세 opentimefood·restdatefood) — 현장 확인 전,Claude(온라인),,"TourAPI 상호 '위생찜닭'(contentid 2838773, 수정일 2026-03-04) 원문: 09:00~21:00 (마지막 주문 20:00)",128.727855529251,36.5654313972314,MA010120220810190260
09,찜닭골목,안동유진찜닭,한식,한식,닭/오리고기 구이/찜,경상북도 안동시 번영1길 47,남문동,,054-854-6019,안동시 공식관광 맛집투어 수록 연락처,안동유진찜닭,Y,유진찜닭,08:30~22:00,09:00,21:00,N,매주 월요일,2026-09-22,화,온라인,온라인 공식 자료(한국관광공사 TourAPI 음식점 상세 opentimefood·restdatefood) — 현장 확인 전,Claude(온라인),,"TourAPI 상호 '안동 유진찜닭'(contentid 2839858, 수정일 2025-11-28) 원문: 09:00~21:00",128.727855529251,36.5654313972314,MA010120220809255136
10,찜닭골목,원조안동찜닭,한식,한식,닭/오리고기 구이/찜,경상북도 안동시 번영1길 47,남문동,,054-855-8903,안동시 공식관광 맛집투어 수록 연락처,원조안동찜닭,Y,원조안동찜닭,08:30~22:00,08:00,20:00,N,매주 목요일,2026-09-22,화,온라인,온라인 공식 자료(한국관광공사 TourAPI 음식점 상세 opentimefood·restdatefood) — 현장 확인 전,Claude(온라인),,"TourAPI 상호 '원조안동찜닭 본점'(contentid 2679452, 수정일 2026-04-28) 원문: 08:00~20:00 (마지막 주문 19:00)",128.727855529251,36.5654313972314,MA010120220809247051
11,찜닭골목,꼬끼요찜닭,한식,한식,닭/오리고기 구이/찜,경상북도 안동시 번영1길 51,서부동,,054-852-4143,안동시 공식관광 맛집투어 수록 연락처,,Y,꼬꼬찜닭,08:30~22:00,,,,,,,,,,,,128.727926740269,36.5656195808428,MA010120220808051262
12,찜닭골목,중앙찜닭,한식,한식,닭/오리고기 구이/찜,경상북도 안동시 번영1길 51,서부동,,054-855-7272,안동시 공식관광 맛집투어 수록 연락처,중앙찜닭,Y,중앙찜닭,08:30~22:00,09:00,20:30,N,연중무휴,2026-09-22,화,온라인,온라인 공식 자료(한국관광공사 TourAPI 음식점 상세 opentimefood·restdatefood) — 현장 확인 전,Claude(온라인),,"TourAPI 상호 '중앙찜닭'(contentid 2866691, 수정일 2026-06-08) 원문: 09:00~20:30",128.727926740269,36.5656195808428,MA010120220805326149
13,찜닭골목,두번째맛있는집찜닭,한식,한식,닭/오리고기 구이/찜,경상북도 안동시 번영1길 58,서부동,1,,,두번째맛있는집 찜닭,N,,08:30~22:00,,,,,,,,,,,,128.728240998493,36.565687106781,MA0101202602A0016995
14,찜닭골목,메종비노,기타,서양식,경양식,경상북도 안동시 번영1길 58-15,서부동,1,,,메종비노,N,,08:30~22:00,,,,,,,,,,,,128.729056329494,36.5656842919718,MA0101202511A0034775
15,찜닭골목,메차쿠차돈까스우동,기타,서양식,경양식,경상북도 안동시 번영1길 58-15,서부동,,,,,N,,08:30~22:00,,,,,,,,,,,,128.729056329494,36.5656842919718,MA010120220809252874
16,찜닭골목,강미혜안동생각이야기,카페,비알코올,카페,경상북도 안동시 번영1길 61,서부동,1,,,,N,,08:30~22:00,,,,,,,,,,,,128.728145921962,36.5659317629964,MA0101202310A0026055
