도시,순위,장소명,데이터랩_분류,분류,검색건수,출처,조사일
안동시,1,안동하회마을,역사유적지,명소(자연·역사),65417,"한국관광 데이터랩 LN_03_01_037 관광지 검색 Top100 (2025.01~12, 티맵 목적지 검색)",2026-09-13
안동시,2,월영교,기타관광,교통·기타,46679,"한국관광 데이터랩 LN_03_01_037 관광지 검색 Top100 (2025.01~12, 티맵 목적지 검색)",2026-09-13
안동시,3,안동구시장,시장,쇼핑·시장,43512,"한국관광 데이터랩 LN_03_01_037 관광지 검색 Top100 (2025.01~12, 티맵 목적지 검색)",2026-09-13
안동시,4,안동역,교통시설,교통·기타,36439,"한국관광 데이터랩 LN_03_01_037 관광지 검색 Top100 (2025.01~12, 티맵 목적지 검색)",2026-09-13
안동시,5,도산서원,역사유적지,명소(자연·역사),26772,"한국관광 데이터랩 LN_03_01_037 관광지 검색 Top100 (2025.01~12, 티맵 목적지 검색)",2026-09-13
안동시,6,안동터미널,교통시설,교통·기타,24636,"한국관광 데이터랩 LN_03_01_037 관광지 검색 Top100 (2025.01~12, 티맵 목적지 검색)",2026-09-13
안동시,7,병산서원,역사유적지,명소(자연·역사),15277,"한국관광 데이터랩 LN_03_01_037 관광지 검색 Top100 (2025.01~12, 티맵 목적지 검색)",2026-09-13
안동시,8,중앙신시장,시장,쇼핑·시장,14775,"한국관광 데이터랩 LN_03_01_037 관광지 검색 Top100 (2025.01~12, 티맵 목적지 검색)",2026-09-13
안동시,9,안동그랜드호텔,호텔,숙박,14477,"한국관광 데이터랩 LN_03_01_037 관광지 검색 Top100 (2025.01~12, 티맵 목적지 검색)",2026-09-13
안동시,10,봉정사,종교성지,명소(자연·역사),13526,"한국관광 데이터랩 LN_03_01_037 관광지 검색 Top100 (2025.01~12, 티맵 목적지 검색)",2026-09-13
안동시,11,스탠포드호텔안동,호텔,숙박,13308,"한국관광 데이터랩 LN_03_01_037 관광지 검색 Top100 (2025.01~12, 티맵 목적지 검색)",2026-09-13
안동시,12,낙강물길공원,도시공원,명소(자연·역사),12243,"한국관광 데이터랩 LN_03_01_037 관광지 검색 Top100 (2025.01~12, 티맵 목적지 검색)",2026-09-13
안동시,13,리버힐CC,육상레저스포츠,체험·문화·레저,8536,"한국관광 데이터랩 LN_03_01_037 관광지 검색 Top100 (2025.01~12, 티맵 목적지 검색)",2026-09-13
안동시,14,안동학가산온천,웰니스관광,체험·문화·레저,8371,"한국관광 데이터랩 LN_03_01_037 관광지 검색 Top100 (2025.01~12, 티맵 목적지 검색)",2026-09-13
안동시,15,남안동CC,육상레저스포츠,체험·문화·레저,8312,"한국관광 데이터랩 LN_03_01_037 관광지 검색 Top100 (2025.01~12, 티맵 목적지 검색)",2026-09-13
안동시,16,유교랜드,기타레저스포츠,체험·문화·레저,7778,"한국관광 데이터랩 LN_03_01_037 관광지 검색 Top100 (2025.01~12, 티맵 목적지 검색)",2026-09-13
