상호명,지점명,상권업종중분류명,상권업종소분류명,법정동명,도로명주소,층정보,월영교거리m,상태,영업종료,야간9시이후,비고,확인일,출처
삼일가든,,한식,백반/한정식,상아동,경상북도 안동시 석주로 207,,274,영업,20:30,N,,2026-09-19,현장확인(카톡)
안동댐간고등어직영식당,,한식,해산물 구이/찜,상아동,경상북도 안동시 석주로 197,,277,영업,20:00,N,,2026-09-19,현장확인(카톡)
월영교달방,,비알코올 ,카페,상아동,경상북도 안동시 석주로 199,,278,영업,23:00,Y,카페/베이커리(월영교달빵),2026-09-19,현장확인(카톡)
맛50년헛제사밥,,한식,백반/한정식,상아동,경상북도 안동시 석주로 201,1,279,영업,20:00,N,,2026-09-19,현장확인(카톡)
핸즈안동댐점,,비알코올 ,카페,상아동,경상북도 안동시 석주로 205,,283,영업,23:00,Y,카페,2026-09-19,현장확인(카톡)
라라룬,,비알코올 ,카페,상아동,경상북도 안동시 석주로 213,2,283,영업,22:00,Y,카페,2026-09-19,현장확인(카톡)
안동김대감,,한식,백반/한정식,상아동,경상북도 안동시 석주로 193,,290,영업,21:00,Y,,2026-09-19,현장확인(카톡)
카페앤드레스토랑,,비알코올 ,카페,상아동,경상북도 안동시 석주로 193,,290,폐업,,,카페,2026-09-19,현장확인(카톡)
호반정,,한식,백반/한정식,상아동,경상북도 안동시 석주로 217,1,298,영업,20:00,N,,2026-09-19,현장확인(카톡)
이정식당,,한식,백반/한정식,상아동,경상북도 안동시 석주로 191,1,305,영업,20:30,N,,2026-09-19,현장확인(카톡)
나우커피안동댐점,,비알코올 ,카페,상아동,경상북도 안동시 석주로 189,1,340,영업,24:00,Y,카페,2026-09-19,현장확인(카톡)
와룡가든,,한식,백반/한정식,상아동,경상북도 안동시 석주로 231,,359,영업,21:00,Y,,2026-09-19,현장확인(카톡)
동해가든식당,,한식,백반/한정식,상아동,경상북도 안동시 석주로 235,,377,폐업,,,,2026-09-19,현장확인(카톡)
월영당,,비알코올 ,카페,성곡동,경상북도 안동시 민속촌길 26,,420,영업,22:00,Y,카페,2026-09-19,현장확인(카톡)
카페구름마루,,비알코올 ,카페,성곡동,경상북도 안동시 민속촌길 26,,420,영업,22:00,Y,카페,2026-09-19,현장확인(카톡)
콩깍지,,한식,백반/한정식,상아동,경상북도 안동시 석주로 171-4,,444,영업,22:00,Y,,2026-09-19,현장확인(카톡)
옛날촌동네,,한식,백반/한정식,성곡동,경상북도 안동시 엄달골1길 41,,704,영업,20:00,N,,2026-09-19,현장확인(카톡)
고센피제리아안동댐점,,서양식,경양식,성곡동,경상북도 안동시 엄달골2길 8,,842,영업,20:30,N,,2026-09-19,현장확인(카톡)
